Year,City,Event
1996,Atlanta,RowingDoubleSculls
2000,Sydney,RowingQuadrupleSculls
1984,Los Angeles,RowingCoxedPairs
1988,Seoul,RowingCoxedPairs
1992,Barcelona,RowingCoxedPairs
1996,Atlanta,RowingCoxedEights
1980,Moskva,RowingCoxedPairs
1976,Montreal,Athletics400metresHurdles
1976,Montreal,Athletics4x100metresRelay
1980,Moskva,Athletics400metresHurdles
2016,Rio de Janeiro,Athletics400metres
1996,Atlanta,AthleticsHammerThrow
1964,Tokyo,WeightliftingLightweight
1980,Moskva,AthleticsLongJump
1992,Barcelona,Athletics400metresHurdles
1960,Roma,WeightliftingFeatherweight
1964,Tokyo,WeightliftingFeatherweight
1988,Seoul,Athletics400metres
1988,Seoul,Athletics800metres
2000,Sydney,CyclingRoadRaceIndividual
1952,Helsinki,DivingPlatform
2004,Athina,Swimming100metresFreestyle
2010,Vancouver,AlpineSkiingGiantSlalom
2004,Athina,WeightliftingMiddleweight
2000,Sydney,HockeyHockey
2004,Athina,HockeyHockey
2012,London,HockeyHockey
1952,Helsinki,BasketballBasketball
1984,Los Angeles,HockeyHockey
2014,Sochi,AlpineSkiingSlalom
2008,Beijing,HockeyHockey
2012,London,RowingSingleSculls
2008,Beijing,Athletics100metres
2008,Beijing,Swimming50metresFreestyle
2000,Sydney,WeightliftingFeatherweight
2012,London,WaterPoloWaterPolo
1900,Paris,GymnasticsIndividualAllAround
2016,Rio de Janeiro,HandballHandball
2000,Sydney,BasketballBasketball
1964,Innsbruck,FigureSkatingSingles
1968,Grenoble,FigureSkatingSingles
2016,Rio de Janeiro,WeightliftingHeavyweight
1906,Athina,FootballFootball
1996,Atlanta,SailingMixedThreePersonKeelboat
2000,Sydney,SailingMixedThreePersonKeelboat
2016,Rio de Janeiro,EquestrianismMixedThreeDayEventIndividual
2016,Rio de Janeiro,EquestrianismMixedThreeDayEventTeam
1928,Amsterdam,Athletics5000metres
2010,Vancouver,FigureSkatingSingles
2014,Sochi,FigureSkatingSingles
2014,Sochi,FigureSkatingMixedTeam
1976,Montreal,CanoeingCanadianDoubles1000metres
2008,Beijing,SailingThreePersonKeelboat
2016,Rio de Janeiro,CyclingRoadRaceIndividual
1900,Paris,GolfIndividual
2008,Beijing,SoftballSoftball
2008,Beijing,ArcheryIndividual
2012,London,WrestlingHeavyweightGrecoRoman
2008,Beijing,VolleyballVolleyball
2008,Beijing,TaekwondoHeavyweight
2008,Beijing,SynchronizedSwimmingDuet
2008,Beijing,SynchronizedSwimmingTeam
2012,London,SynchronizedSwimmingTeam
2008,Beijing,Athletics5000metres
2016,Rio de Janeiro,VolleyballVolleyball
1992,Barcelona,HandballHandball
1996,Atlanta,HandballHandball
1960,Roma,GymnasticsIndividualAllAround
1960,Roma,GymnasticsTeamAllAround
1960,Roma,GymnasticsFloorExercise
1960,Roma,GymnasticsHorseVault
1960,Roma,GymnasticsParallelBars
1960,Roma,GymnasticsHorizontalBar
1960,Roma,GymnasticsRings
1960,Roma,GymnasticsPommelledHorse
1992,Barcelona,FencingFoilIndividual
2004,Athina,TaekwondoFeatherweight
1964,Tokyo,AthleticsMarathon
1972,Munich,Athletics4x400metresRelay
1952,Helsinki,Athletics10000metres
1984,Los Angeles,Athletics3000metres
2016,Rio de Janeiro,DivingPlatform
2000,Sydney,VolleyballVolleyball
2000,Sydney,ShootingAirRifle10metres
1972,Munich,FootballFootball
1952,Helsinki,AthleticsMarathon
1960,Roma,AthleticsLongJump
1960,Roma,BoxingFeatherweight
1968,Mexico City,BoxingLightweight
1972,Munich,Athletics200metres
2000,Sydney,SynchronizedSwimmingDuet
2004,Athina,SynchronizedSwimmingDuet
1992,Barcelona,HockeyHockey
1960,Roma,RowingCoxedEights
2004,Athina,WaterPoloWaterPolo
1948,London,FencingFoilIndividual
1948,London,FencingFoilTeam
1948,London,FencingepeeTeam
1952,Helsinki,FencingFoilTeam
1952,Helsinki,FencingepeeTeam
1960,Roma,WaterPoloWaterPolo
1976,Montreal,WeightliftingFlyweight
1984,Los Angeles,VolleyballVolleyball
1968,Mexico City,BoxingFeatherweight
1948,London,WrestlingFeatherweightFreestyle
1992,Barcelona,FootballFootball
1972,Munich,BasketballBasketball
1948,London,WaterPoloWaterPolo
1948,London,Swimming100metresFreestyle
1948,London,Swimming100metresBackstroke
1952,Helsinki,WaterPoloWaterPolo
1952,Helsinki,Swimming100metresFreestyle
1960,Roma,Athletics100metres
1952,Helsinki,WeightliftingLightHeavyweight
1960,Roma,WeightliftingLightHeavyweight
1976,Montreal,HandballHandball
1988,Seoul,WrestlingLightweightGrecoRoman
1984,Los Angeles,BasketballBasketball
1988,Seoul,BasketballBasketball
1976,Montreal,BasketballBasketball
1996,Atlanta,Athletics400metres
1964,Tokyo,RowingCoxedEights
1964,Tokyo,WaterPoloWaterPolo
1936,Berlin,FencingSabreIndividual
1948,London,FencingepeeIndividual
1952,Helsinki,FencingepeeIndividual
1952,Helsinki,FencingSabreIndividual
1952,Helsinki,FencingSabreTeam
1952,Helsinki,BoxingWelterweight
1960,Roma,FencingFoilTeam
1964,Tokyo,FencingFoilIndividual
1964,Tokyo,FencingFoilTeam
2008,Beijing,WrestlingSuperHeavyweightGrecoRoman
2008,Beijing,ShootingFreePistol50metres
2016,Rio de Janeiro,ShootingAirPistol10metres
2016,Rio de Janeiro,ShootingFreePistol50metres
2004,Athina,FencingepeeTeam
2000,Sydney,RowingCoxlessFours
2000,Sydney,BoxingLightFlyweight
2000,Sydney,BoxingSuperHeavyweight
1976,Montreal,BoxingLightFlyweight
1948,London,WrestlingFlyweightGrecoRoman
2004,Athina,ShootingAirRifle10metres
2008,Beijing,ShootingAirRifle10metres
2016,Rio de Janeiro,ShootingAirRifle10metres
2016,Rio de Janeiro,BoxingLightweight
2016,Rio de Janeiro,JudoHalfMiddleweight
2008,Beijing,ShootingAirPistol10metres
2012,London,WeightliftingMiddleweight
2016,Rio de Janeiro,WeightliftingMiddleweight
2008,Beijing,Athletics1500metres
1984,Los Angeles,FootballFootball
2012,London,WeightliftingLightHeavyweight
2016,Rio de Janeiro,WeightliftingMiddleHeavyweight
1952,Helsinki,Athletics5000metres
2004,Athina,ShootingAirRifle10metres
2008,Beijing,ShootingAirRifle10metres
2016,Rio de Janeiro,FootballFootball
2016,Rio de Janeiro,SynchronizedSwimmingTeam
2012,London,WrestlingLightweightGrecoRoman
2016,Rio de Janeiro,JudoExtraLightweight
2012,London,AthleticsJavelinThrow
2000,Sydney,GymnasticsIndividualAllAround
2000,Sydney,GymnasticsHorseVault
2000,Sydney,GymnasticsParallelBars
2000,Sydney,GymnasticsRings
2000,Sydney,GymnasticsPommelledHorse
1980,Moskva,Athletics5000metres
1992,Barcelona,Athletics800metres
