Year,City,Event
1988,Seoul,BoxingMiddleweight
2012,London,JudoLightweight
2016,Rio de Janeiro,JudoLightweight
1992,Barcelona,ShootingAirRifle10metres
1996,Atlanta,ShootingSmallBoreRifleThreePositions50metres
1980,Moskva,HockeyHockey
1924,Paris,SailingMixedOnePersonDinghy
1924,Paris,SailingMixed6metres
1928,Amsterdam,SailingMixedOnePersonDinghy
1932,Los Angeles,SailingMixedOnePersonDinghy
2016,Rio de Janeiro,AthleticsHighJump
1996,Atlanta,SailingOnePersonDinghy
2000,Sydney,SailingOnePersonDinghy
2004,Athina,SailingOnePersonDinghy
1980,Moskva,VolleyballVolleyball
1988,Seoul,VolleyballVolleyball
1996,Atlanta,RowingDoubleSculls
1968,Mexico City,EquestrianismMixedJumpingIndividual
1964,Tokyo,BoxingLightWelterweight
1960,Roma,CanoeingKayakRelay4x500metres
2016,Rio de Janeiro,AthleticsJavelinThrow
1960,Roma,FencingSabreIndividual
1960,Roma,FencingSabreTeam
1900,Paris,CyclingSprint
1912,Stockholm,Athletics1500metres
1912,Stockholm,Athletics3000metresTeam
1976,Montreal,WeightliftingLightweight
1980,Moskva,WeightliftingLightweight
2000,Sydney,AthleticsDecathlon
1964,Innsbruck,LugeSingles
1964,Innsbruck,LugeMixedsDoubles
1920,Antwerpen,Athletics800metres
1920,Antwerpen,Athletics3000metresSteeplechase
1920,Antwerpen,Athletics3000metresTeam
1924,Paris,Athletics3000metresSteeplechase
1924,Paris,Athletics3000metresTeam
1924,Paris,WaterPoloWaterPolo
1984,Los Angeles,EquestrianismMixedThreeDayEventIndividual
1984,Los Angeles,EquestrianismMixedThreeDayEventTeam
1988,Seoul,EquestrianismMixedThreeDayEventIndividual
1988,Seoul,EquestrianismMixedThreeDayEventTeam
1972,Munich,WeightliftingLightweight
1980,Moskva,RowingSingleSculls
1980,Lake Placid,CrossCountrySkiing50kilometres
1980,Lake Placid,CrossCountrySkiing4x10kilometresRelay
1948,London,ShootingFreePistol50metres
1984,Sarajevo,CrossCountrySkiing4x10kilometresRelay
2004,Athina,BoxingFlyweight
2016,Rio de Janeiro,CanoeingKayakSingles200metres
1948,London,SailingMixed6metres
1952,Helsinki,SailingMixed6metres
1920,Antwerpen,WaterPoloWaterPolo
1920,Antwerpen,Swimming100metresFreestyle
1932,Los Angeles,WaterPoloWaterPolo
2004,Athina,Athletics3000metresSteeplechase
2012,London,ShootingAirPistol10metres
2016,Rio de Janeiro,Athletics4x400metresRelay
1996,Atlanta,Swimming100metresButterfly
1960,Roma,WrestlingWelterweightFreestyle
1972,Munich,CanoeingKayakFours1000metres
1968,Mexico City,Swimming400metresFreestyle
1968,Mexico City,Swimming800metresFreestyle
1968,Mexico City,Swimming4x100metresFreestyleRelay
1968,Mexico City,Swimming400metresIndividualMedley
1972,Munich,Swimming100metresButterfly
1984,Los Angeles,SynchronizedSwimmingSolo
1972,Munich,BoxingFeatherweight
2016,Rio de Janeiro,WrestlingLightHeavyweightFreestyle
2000,Sydney,CanoeingKayakDoubles500metres
2000,Sydney,CanoeingKayakDoubles1000metres
2004,Athina,CanoeingKayakSingles1000metres
1906,Athina,AthleticsStandingLongJump
2014,Sochi,CrossCountrySkiing10kilometres
1968,Mexico City,AthleticsHammerThrow
1964,Innsbruck,CrossCountrySkiing15kilometres
1964,Innsbruck,CrossCountrySkiing30kilometres
1980,Moskva,CanoeingKayakDoubles1000metres
1984,Los Angeles,CanoeingKayakDoubles500metres
1984,Los Angeles,CanoeingKayakFours1000metres
1968,Mexico City,AthleticsLongJump
2006,Torino,CrossCountrySkiingSprint
2006,Torino,CrossCountrySkiing10kilometres
2006,Torino,CrossCountrySkiing4x5kilometresRelay
2000,Sydney,AthleticsPoleVault
1900,Paris,RowingCoxedFours
1956,Stockholm,EquestrianismThreeDayEventIndividual
1956,Stockholm,EquestrianismThreeDayEventTeam
1984,Los Angeles,BoxingFlyweight
2016,Rio de Janeiro,WeightliftingLightHeavyweight
1972,Munich,AthleticsTripleJump
1908,London,ShootingSmallBoreRifleProne50and100yards
1908,London,ShootingSmallBoreRifle50and100yardsTeam
1908,London,ShootingSmallBoreRifleDisappearingTarget25yards
1908,London,ShootingSmallBoreRifleMovingTarget25yards
1964,Tokyo,Athletics400metres
1976,Montreal,Athletics800metres
1976,Montreal,Athletics1500metres
1984,Los Angeles,Swimming4x100metresFreestyleRelay
2004,Athina,CyclingRoadRaceIndividual
1988,Seoul,Swimming400metresFreestyle
1988,Seoul,Swimming800metresFreestyle
1988,Seoul,SynchronizedSwimmingSolo
1964,Tokyo,Swimming100metresFreestyle
1976,Innsbruck,CrossCountrySkiing5kilometres
1976,Innsbruck,CrossCountrySkiing10kilometres
1976,Innsbruck,CrossCountrySkiing4x5kilometresRelay
1920,Antwerpen,ShootingMilitaryPistolTeam
1920,Antwerpen,ShootingFreeRifleThreePositions300metres
2008,Beijing,WrestlingFeatherweightGrecoRoman
1924,Paris,Athletics400metres
1924,Paris,Athletics800metres
1976,Montreal,BoxingLightMiddleweight
1992,Barcelona,TableTennisDoubles
2012,London,WeightliftingSuperHeavyweight
1992,Albertville,AlpineSkiingGiantSlalom
1992,Albertville,AlpineSkiingSlalom
2008,Beijing,WrestlingLightweightFreestyle
2012,London,WrestlingLightweightFreestyle
2008,Beijing,Swimming200metresBackstroke
1936,Berlin,PoloPolo
1920,Antwerpen,FencingFoilTeam
1964,Innsbruck,LugeSingles
1964,Tokyo,Athletics200metres
1976,Montreal,Swimming100metresFreestyle
1976,Montreal,Swimming200metresFreestyle
1976,Montreal,Swimming4x100metresFreestyleRelay
1960,Roma,SailingMixedThreePersonKeelboat
1912,Stockholm,GymnasticsTeamAllAroundSwedishSystem
1984,Los Angeles,CanoeingKayakDoubles1000metres
1988,Seoul,CanoeingKayakDoubles1000metres
1936,Berlin,ShootingFreePistol50metres
1952,Helsinki,ShootingFreeRifleThreePositions300metres
1968,Mexico City,CanoeingKayakFours1000metres
1936,Berlin,CanoeingKayakSingles1000metres
1936,Berlin,CanoeingCanadianSingles1000metres
1972,Munich,Athletics800metres
1972,Munich,Athletics1500metres
2016,Rio de Janeiro,JudoHalfLightweight
2016,Rio de Janeiro,JudoLightweight
1968,Mexico City,WrestlingBantamweightGrecoRoman
1988,Seoul,WrestlingFeatherweightGrecoRoman
1984,Los Angeles,BoxingLightMiddleweight
1964,Tokyo,EquestrianismMixedJumpingIndividual
1964,Tokyo,EquestrianismMixedJumpingTeam
1968,Mexico City,VolleyballVolleyball
1984,Los Angeles,RowingCoxedFours
1992,Barcelona,WrestlingBantamweightGrecoRoman
1976,Montreal,WrestlingBantamweightGrecoRoman
1964,Tokyo,ShootingFreePistol50metres
2010,Vancouver,SpeedSkating500metres
2008,Beijing,JudoHalfLightweight
2012,London,JudoHalfLightweight
1998,Nagano,ShortTrackSpeedSkating3000metresRelay
2016,Rio de Janeiro,Swimming100metresButterfly
1964,Innsbruck,SpeedSkating1500metres
2004,Athina,ShootingAirPistol10metres
2004,Athina,ShootingSportingPistol25metres
2008,Beijing,ShootingSportingPistol25metres
1988,Seoul,CyclingTeamPursuit4000metres
1976,Montreal,JudoHalfHeavyweight
2002,Salt Lake City,ShortTrackSpeedSkating1000metres
2002,Salt Lake City,ShortTrackSpeedSkating1500metres
2006,Torino,ShortTrackSpeedSkating500metres
2006,Torino,ShortTrackSpeedSkating1000metres
2006,Torino,ShortTrackSpeedSkating1500metres
2006,Torino,ShortTrackSpeedSkating5000metresRelay
2006,Torino,SpeedSkating500metres
2006,Torino,SpeedSkating1000metres
1948,London,AthleticsDiscusThrow
2004,Athina,WeightliftingSuperHeavyweight
1998,Nagano,ShortTrackSpeedSkating500metres
1998,Nagano,ShortTrackSpeedSkating1000metres
2002,Salt Lake City,ShortTrackSpeedSkating5000metresRelay
1996,Atlanta,SoftballSoftball
1992,Barcelona,VolleyballVolleyball
1996,Atlanta,VolleyballVolleyball
1988,Seoul,VolleyballVolleyball
2004,Athina,BeachVolleyballBeachVolleyball
2008,Beijing,BeachVolleyballBeachVolleyball
2016,Rio de Janeiro,Athletics400metresHurdles
1906,Athina,WeightliftingUnlimitedOneHand
2016,Rio de Janeiro,AthleticsDiscusThrow
2012,London,JudoHalfHeavyweight
2004,Athina,Athletics1500metres
1988,Seoul,RowingQuadrupleSculls
1992,Barcelona,RowingQuadrupleSculls
1996,Atlanta,WeightliftingFeatherweight
2016,Rio de Janeiro,CanoeingKayakSingles500metres
1976,Montreal,CanoeingCanadianSingles500metres
1976,Montreal,CanoeingCanadianSingles1000metres
1980,Moskva,CanoeingCanadianDoubles500metres
2006,Torino,LugeSingles
2016,Rio de Janeiro,AthleticsHammerThrow
1956,Melbourne,CanoeingKayakDoubles1000metres
1906,Athina,Athletics800metres
1906,Athina,Athletics1500metres
1992,Albertville,Biathlon20kilometres
2004,Athina,SynchronizedSwimmingTeam
1906,Athina,Athletics400metres
1984,Los Angeles,HandballHandball
1988,Seoul,HandballHandball
1900,Paris,FencingFoilMastersIndividual
1900,Paris,FencingepeeMastersIndividual
2012,London,Swimming200metresBackstroke
1988,Seoul,ArcheryTeam
1992,Barcelona,ArcheryIndividual
1992,Barcelona,ArcheryTeam
1996,Atlanta,ArcheryIndividual
1968,Mexico City,BoxingBantamweight
1948,London,SailingMixedThreePersonKeelboat
2004,Athina,TennisSingles
1980,Moskva,WrestlingLightHeavyweightGrecoRoman
1980,Moskva,WrestlingLightHeavyweightFreestyle
1964,Tokyo,BoxingFeatherweight
1904,St. Louis,GymnasticsIndividualAllAround
1904,St. Louis,GymnasticsIndividualAllAroundFieldSports
1904,St. Louis,GymnasticsIndividualAllAroundApparatusWork
1928,Amsterdam,ArtCompetitionsMixedMusicCompositionsForSoloOrChorus
2000,Sydney,FencingepeeIndividual
2000,Sydney,FencingepeeTeam
1948,London,WrestlingFeatherweightGrecoRoman
1952,Helsinki,WrestlingLightweightFreestyle
1956,Melbourne,WrestlingLightweightGrecoRoman
1956,Melbourne,WrestlingLightweightFreestyle
1936,Garmisch-Partenkirchen,FigureSkatingSingles
2004,Athina,GymnasticsTeamAllAround
2008,Beijing,GymnasticsTeamAllAround
2008,Beijing,GymnasticsParallelBars
2008,Beijing,GymnasticsRings
1972,Sapporo,FigureSkatingSingles
1900,Paris,Swimming4000metresFreestyle
1900,Paris,SwimmingUnderwaterSwimming
1984,Los Angeles,HockeyHockey
1988,Calgary,Biathlon10kilometresSprint
1996,Atlanta,Athletics10kilometresWalk
1920,Antwerpen,Athletics10000metres
1928,Sankt Moritz,SkiJumpingNormalHillIndividual
1908,London,WrestlingMiddleweightGrecoRoman
1932,Los Angeles,AthleticsMarathon
1992,Barcelona,SailingMixedMultihull
2016,Rio de Janeiro,RowingCoxlessPairs
1900,Paris,AthleticsHighJump
1900,Paris,AthleticsPoleVault
1948,London,RowingCoxedPairs
1920,Antwerpen,ShootingFreePistol50metres
2004,Athina,SailingMixedSkiff
1932,Lake Placid,CrossCountrySkiing18kilometres
1988,Seoul,Athletics20kilometresWalk
1920,Antwerpen,WrestlingLightweightGrecoRoman
1968,Grenoble,NordicCombinedIndividual
1972,Sapporo,NordicCombinedIndividual
1948,London,Swimming400metresFreestyle
1952,Helsinki,Swimming400metresFreestyle
1932,Los Angeles,CyclingRoadRaceIndividual
2000,Sydney,Swimming4x100metresFreestyleRelay
2000,Sydney,Swimming4x200metresFreestyleRelay
1920,Antwerpen,CyclingSprint
1948,Sankt Moritz,SpeedSkating10000metres
1952,Oslo,SpeedSkating5000metres
1952,Oslo,SpeedSkating10000metres
1956,Cortina d'Ampezzo,SpeedSkating10000metres
1992,Barcelona,SailingTwoPersonDinghy
1960,Roma,Swimming200metresBreaststroke
1960,Roma,RowingDoubleSculls
1956,Melbourne,BoxingMiddleweight
1964,Tokyo,Athletics800metres
2004,Athina,BadmintonSingles
1912,Stockholm,AthleticsCrossCountryIndividual
1912,Stockholm,AthleticsCrossCountryTeam
1972,Munich,CanoeingKayakDoubles1000metres
1948,London,CyclingRoadRaceTeam
1952,Helsinki,CyclingTeamPursuit4000metres
1952,Helsinki,RowingCoxedFours
1932,Los Angeles,Swimming100metresFreestyle
1932,Los Angeles,Swimming400metresFreestyle
1992,Barcelona,SailingOnePersonDinghy
2004,Athina,CyclingMountainbikeCrossCountry
1908,London,ShootingFreeRifleThreePositions300metresTeam
1908,London,ShootingMilitaryRifle2005006008009001000YardsTeam
1912,Stockholm,ShootingFreeRifleThreePositions300metresTeam
1928,Amsterdam,Athletics3000metresSteeplechase
2002,Salt Lake City,SpeedSkating1500metres
2006,Torino,SpeedSkating1500metres
1984,Los Angeles,JudoHeavyweight
1976,Innsbruck,SpeedSkating1000metres
1976,Innsbruck,SpeedSkating1500metres
1980,Lake Placid,SpeedSkating1000metres
1980,Lake Placid,SpeedSkating1500metres
1960,Roma,BoxingFlyweight
1984,Los Angeles,AthleticsMarathon
1988,Seoul,AthleticsMarathon
2012,London,Swimming4x200metresFreestyleRelay
1960,Squaw Valley,AlpineSkiingGiantSlalom
1960,Squaw Valley,AlpineSkiingSlalom
1948,London,EquestrianismThreeDayEventIndividual
1948,London,EquestrianismThreeDayEventTeam
1996,Atlanta,AthleticsHighJump
1956,Melbourne,ShootingRunningTargetSingleAndDoubleShot
1956,Melbourne,RowingCoxlessFours
1912,Stockholm,ShootingSmallBoreRifleAnyPosition50metres
1912,Stockholm,ShootingSmallBoreRifleDisappearingTarget25metres
1964,Tokyo,ShootingFreeRifleThreePositions300metres
1988,Seoul,CyclingIndividualPursuit4000metres
1996,Atlanta,CyclingIndividualPursuit4000metres
2000,Sydney,CyclingIndividualPursuit4000metres
1908,London,CyclingSprint
2012,London,Swimming10kilometresOpenWater
2016,Rio de Janeiro,Swimming10kilometresOpenWater
1976,Montreal,ShootingMixedFreePistol50metres
2014,Sochi,SnowboardingSlopestyle
1998,Nagano,SnowboardingGiantSlalom
2002,Salt Lake City,SnowboardingParallelGiantSlalom
2006,Torino,SnowboardingParallelGiantSlalom
2006,Torino,SnowboardingBoardercross
2010,Vancouver,SnowboardingParallelGiantSlalom
2014,Sochi,SnowboardingParallelGiantSlalom
2014,Sochi,SnowboardingParallelSlalom
1964,Tokyo,DivingSpringboard
1964,Tokyo,DivingPlatform
1968,Mexico City,DivingSpringboard
1984,Los Angeles,AthleticsHeptathlon
1932,Los Angeles,AthleticsDiscusThrow
1936,Berlin,Athletics800metres
1976,Innsbruck,AlpineSkiingDownhill
1980,Lake Placid,AlpineSkiingDownhill
1912,Stockholm,Athletics110metresHurdles
1948,London,DivingSpringboard
1924,Paris,AthleticsDecathlon
1956,Melbourne,WeightliftingHeavyweight
1984,Los Angeles,SailingMixedMultihull
1952,Helsinki,AthleticsPoleVault
1932,Lake Placid,IceHockeyIceHockey
1964,Tokyo,Swimming200metresBreaststroke
1908,London,CyclingTeamPursuit1980yards
1908,London,Cycling5000metres
1908,London,Cycling20kilometres
1908,London,Cycling100kilometres
1900,Paris,CricketCricket
1984,Los Angeles,RowingCoxedEights
1996,Atlanta,Athletics5000metres
2000,Sydney,Athletics5000metres
1908,London,Swimming4x200metresFreestyleRelay
1908,London,Swimming200metresBreaststroke
1980,Moskva,CanoeingKayakSingles500metres
1980,Moskva,CanoeingKayakDoubles500metres
1984,Los Angeles,CanoeingKayakSingles500metres
1984,Los Angeles,CanoeingKayakDoubles500metres
1984,Los Angeles,CanoeingKayakFours500metres
1988,Seoul,CanoeingKayakSingles500metres
1988,Seoul,CanoeingKayakDoubles500metres
1988,Seoul,CanoeingKayakFours500metres
1992,Barcelona,CanoeingKayakDoubles500metres
1996,Atlanta,CanoeingKayakFours500metres
1948,Sankt Moritz,IceHockeyIceHockey
1928,Amsterdam,AthleticsDecathlon
1976,Montreal,CanoeingKayakDoubles500metres
1976,Montreal,CanoeingKayakDoubles1000metres
1980,Moskva,CanoeingKayakSingles500metres
1980,Moskva,CanoeingKayakSingles1000metres
1912,Stockholm,TugOfWarTugOfWar
1948,London,WeightliftingFeatherweight
1952,Helsinki,WeightliftingLightweight
1908,London,Athletics1500metres
1976,Montreal,CanoeingKayakSingles1000metres
1980,Moskva,CanoeingKayakFours1000metres
1908,London,WrestlingMiddleweightFreestyle
1972,Munich,ShootingMixedRapidFirePistol25metres
1976,Montreal,ShootingMixedRapidFirePistol25metres
2014,Sochi,SpeedSkating1000metres
2014,Sochi,SpeedSkating1500metres
2004,Athina,ShootingRunningTarget10metres
1912,Stockholm,Swimming100metresFreestyle
1976,Montreal,WrestlingLightHeavyweightGrecoRoman
1980,Moskva,WrestlingHeavyweightFreestyle
1984,Los Angeles,WrestlingLightHeavyweightGrecoRoman
1984,Los Angeles,WrestlingLightHeavyweightFreestyle
1980,Moskva,SailingMixedThreePersonKeelboat
1948,London,WrestlingWelterweightGrecoRoman
1952,Helsinki,WrestlingWelterweightGrecoRoman
1976,Montreal,Swimming4x100metresMedleyRelay
1932,Los Angeles,ShootingSmallBoreRifleProne50metres
1928,Sankt Moritz,SpeedSkating500metres
1928,Sankt Moritz,SpeedSkating1500metres
1928,Sankt Moritz,SpeedSkating5000metres
1928,Sankt Moritz,SpeedSkating10000metres
1936,Berlin,AthleticsDiscusThrow
1948,London,CanoeingCanadianSingles1000metres
1948,London,CanoeingCanadianSingles10000metres
1952,Helsinki,CanoeingCanadianSingles1000metres
1992,Barcelona,DivingSpringboard
1906,Athina,DivingPlatform
2004,Athina,ArcheryIndividual
2004,Athina,ArcheryTeam
1984,Los Angeles,WrestlingLightFlyweightGrecoRoman
1984,Los Angeles,WrestlingLightFlyweightFreestyle
1994,Lillehammer,AlpineSkiingGiantSlalom
1952,Helsinki,WeightliftingHeavyweight
1988,Seoul,EquestrianismMixedDressageIndividual
1988,Seoul,EquestrianismMixedDressageTeam
1968,Mexico City,CanoeingKayakDoubles1000metres
1988,Calgary,Biathlon20kilometres
1988,Calgary,Biathlon4x75kilometresRelay
1992,Albertville,Biathlon4x75kilometresRelay
1994,Lillehammer,Biathlon20kilometres
1994,Lillehammer,Biathlon4x75kilometresRelay
1976,Montreal,WrestlingMiddleweightGrecoRoman
1936,Berlin,AthleticsTripleJump
2002,Salt Lake City,CrossCountrySkiingSprint
2002,Salt Lake City,CrossCountrySkiing10kilometres
2006,Torino,CrossCountrySkiing30kilometres
2006,Torino,CrossCountrySkiingTeamSprint
1988,Seoul,ArcheryTeam
1968,Mexico City,Swimming100metresFreestyle
1968,Mexico City,Swimming200metresButterfly
2004,Athina,SailingTwoPersonDinghy
1996,Atlanta,CyclingIndividualTimeTrial
2000,Sydney,CyclingIndividualTimeTrial
1968,Mexico City,Athletics20kilometresWalk
2000,Sydney,JudoLightweight
1908,London,WaterPoloWaterPolo
1908,London,Swimming100metresFreestyle
1908,London,Swimming400metresFreestyle
1920,Antwerpen,Swimming4x200metresFreestyleRelay
1972,Munich,WrestlingLightHeavyweightGrecoRoman
1972,Munich,WrestlingLightHeavyweightFreestyle
1936,Garmisch-Partenkirchen,IceHockeyIceHockey
1936,Berlin,WrestlingWelterweightFreestyle
1928,Sankt Moritz,CrossCountrySkiing18kilometres
1928,Sankt Moritz,CrossCountrySkiing50kilometres
1908,London,Swimming1500metresFreestyle
1912,Stockholm,Swimming1500metresFreestyle
1964,Tokyo,WrestlingMiddleweightGrecoRoman
1924,Paris,AthleticsCrossCountryIndividual
1924,Paris,AthleticsCrossCountryTeam
2008,Beijing,WeightliftingLightHeavyweight
2012,London,BoxingMiddleweight
1980,Lake Placid,CrossCountrySkiing10kilometres
1980,Lake Placid,CrossCountrySkiing4x5kilometresRelay
1984,Sarajevo,CrossCountrySkiing5kilometres
1984,Sarajevo,CrossCountrySkiing10kilometres
1984,Sarajevo,CrossCountrySkiing20kilometres
1984,Sarajevo,CrossCountrySkiing4x5kilometresRelay
1976,Montreal,WrestlingSuperHeavyweightFreestyle
1980,Moskva,WrestlingSuperHeavyweightFreestyle
1996,Atlanta,AthleticsPoleVault
2000,Sydney,EquestrianismMixedThreeDayEventIndividual
1998,Nagano,FreestyleSkiingAerials
1972,Munich,WeightliftingFeatherweight
1976,Montreal,WeightliftingBantamweight
1984,Los Angeles,WrestlingSuperHeavyweightGrecoRoman
2006,Torino,FigureSkatingSingles
2010,Vancouver,FigureSkatingSingles
2000,Sydney,CanoeingKayakSinglesSlalom
2004,Athina,JudoHeavyweight
1980,Moskva,AthleticsDecathlon
1988,Seoul,AthleticsHighJump
1992,Barcelona,AthleticsHighJump
2008,Beijing,Swimming400metresIndividualMedley
1984,Los Angeles,Swimming4x200metresFreestyleRelay
2008,Beijing,BoxingWelterweight
1960,Roma,DivingSpringboard
2008,Beijing,SailingMixedSkiff
2012,London,SailingSkiff
1998,Nagano,FigureSkatingSingles
1952,Helsinki,BoxingMiddleweight
1908,London,AthleticsHighJump
1912,Stockholm,AthleticsPentathlon
1920,Antwerpen,Athletics400metresHurdles
1924,Paris,Athletics400metresHurdles
1972,Munich,Athletics100metresHurdles
2000,Sydney,AthleticsPoleVault
1956,Melbourne,BoxingWelterweight
1992,Barcelona,JudoHalfHeavyweight
1906,Athina,AthleticsHighJump
1906,Athina,AthleticsTripleJump
1988,Seoul,RowingDoubleSculls
1920,Antwerpen,BoxingLightHeavyweight
2002,Salt Lake City,Biathlon75kilometresSprint
2002,Salt Lake City,Biathlon10kilometresPursuit
1976,Montreal,RowingCoxlessFours
1936,Berlin,BoxingWelterweight
1980,Moskva,WrestlingHeavyweightGrecoRoman
1984,Los Angeles,WrestlingHeavyweightGrecoRoman
1984,Los Angeles,WrestlingSuperHeavyweightFreestyle
1968,Mexico City,Swimming100metresBackstroke
1968,Mexico City,Swimming200metresBackstroke
2006,Torino,CrossCountrySkiing50kilometres
1924,Paris,BoxingBantamweight
1920,Antwerpen,GymnasticsTeamAllAround
1896,Athina,Athletics110metresHurdles
1896,Athina,Swimming1200metresFreestyle
2012,London,ShootingSkeet
1998,Nagano,CurlingCurling
1956,Melbourne,SailingMixedThreePersonKeelboat
1998,Nagano,Biathlon10kilometresSprint
1998,Nagano,Biathlon20kilometres
2002,Salt Lake City,Biathlon10kilometresSprint
2002,Salt Lake City,Biathlon125kilometresPursuit
2002,Salt Lake City,Biathlon20kilometres
2002,Salt Lake City,Biathlon4x75kilometresRelay
2006,Torino,Biathlon10kilometresSprint
2006,Torino,Biathlon125kilometresPursuit
2006,Torino,Biathlon15kilometresMassStart
2006,Torino,Biathlon20kilometres
2006,Torino,Biathlon4x75kilometresRelay
1952,Helsinki,CyclingRoadRaceIndividual
1952,Helsinki,CyclingRoadRaceTeam
2006,Torino,CrossCountrySkiing30kmSkiathlon
1968,Grenoble,Biathlon20kilometres
1968,Grenoble,Biathlon4x75kilometresRelay
1960,Roma,Swimming100metresButterfly
1960,Roma,Swimming4x100metresMedleyRelay
1998,Nagano,SnowboardingHalfpipe
2002,Salt Lake City,SnowboardingHalfpipe
2012,London,JudoHeavyweight
1904,St. Louis,Cycling14mile
1904,St. Louis,Cycling12mile
1904,St. Louis,Cycling5mile
1904,St. Louis,Cycling25mile
2016,Rio de Janeiro,Athletics10000metres
1932,Los Angeles,ArtCompetitionsMixedArchitectureUnknownEvent
2014,Sochi,CurlingCurling
1908,London,CyclingTandemSprint2000metres
2008,Beijing,AthleticsPoleVault
2004,Athina,AthleticsDecathlon
1980,Lake Placid,AlpineSkiingSlalom
2016,Rio de Janeiro,Swimming200metresBreaststroke
2008,Beijing,CyclingMountainbikeCrossCountry
2012,London,Swimming4x100metresFreestyleRelay
2016,Rio de Janeiro,Swimming4x100metresFreestyleRelay
2016,Rio de Janeiro,Swimming200metresIndividualMedley
1984,Sarajevo,AlpineSkiingGiantSlalom
1984,Sarajevo,AlpineSkiingSlalom
1976,Montreal,BoxingBantamweight
1936,Berlin,ArtCompetitionsMixedPaintingUnknownEvent
1896,Athina,GymnasticsRopeClimbing
1972,Munich,JudoHalfMiddleweight
1972,Munich,JudoHeavyweight
1972,Munich,GymnasticsIndividualAllAround
1972,Munich,GymnasticsTeamAllAround
1972,Munich,GymnasticsFloorExercise
1972,Munich,GymnasticsHorseVault
1972,Munich,GymnasticsParallelBars
1972,Munich,GymnasticsHorizontalBar
1972,Munich,GymnasticsRings
1972,Munich,GymnasticsPommelledHorse
1976,Montreal,GymnasticsIndividualAllAround
1976,Montreal,GymnasticsTeamAllAround
1976,Montreal,GymnasticsFloorExercise
1976,Montreal,GymnasticsHorseVault
1976,Montreal,GymnasticsParallelBars
1976,Montreal,GymnasticsHorizontalBar
1976,Montreal,GymnasticsRings
1976,Montreal,GymnasticsPommelledHorse
1980,Moskva,GymnasticsIndividualAllAround
1980,Moskva,GymnasticsTeamAllAround
1980,Moskva,GymnasticsFloorExercise
1980,Moskva,GymnasticsHorseVault
1980,Moskva,GymnasticsParallelBars
1980,Moskva,GymnasticsHorizontalBar
1980,Moskva,GymnasticsRings
1980,Moskva,GymnasticsPommelledHorse
1976,Montreal,AthleticsDiscusThrow
2008,Beijing,Athletics800metres
2000,Sydney,RowingCoxlessPairs
1920,Antwerpen,ShootingSmallBoreRifleStanding50metres
1920,Antwerpen,ShootingSmallBoreRifleStanding50metresTeam
1952,Helsinki,Cycling1000metresTimeTrial
1992,Barcelona,RowingCoxlessPairs
1996,Atlanta,RowingCoxlessPairs
1988,Seoul,CanoeingCanadianDoubles500metres
1988,Seoul,CanoeingCanadianDoubles1000metres
1996,Atlanta,CanoeingCanadianDoubles500metres
2004,Athina,BadmintonSingles
2012,London,WrestlingHeavyweightFreestyle
2016,Rio de Janeiro,WrestlingHeavyweightFreestyle
1936,Garmisch-Partenkirchen,SpeedSkating500metres
1936,Garmisch-Partenkirchen,SpeedSkating1500metres
1936,Garmisch-Partenkirchen,SpeedSkating5000metres
2004,Athina,RhythmicGymnasticsIndividual
2008,Beijing,RhythmicGymnasticsIndividual
2004,Athina,CyclingIndividualTimeTrial
2012,London,RowingQuadrupleSculls
1920,Antwerpen,Athletics110metresHurdles
1920,Antwerpen,AthleticsHighJump
1920,Antwerpen,AthleticsPentathlon
1920,Antwerpen,AthleticsDecathlon
2004,Athina,Athletics50kilometresWalk
1956,Melbourne,Swimming1500metresFreestyle
1960,Roma,Swimming1500metresFreestyle
1968,Mexico City,FencingSabreIndividual
2012,London,CyclingRoadRaceIndividual
2016,Rio de Janeiro,Swimming4x200metresFreestyleRelay
1980,Moskva,RowingQuadrupleSculls
1924,Paris,WeightliftingFeatherweight
1928,Amsterdam,WeightliftingFeatherweight
2008,Beijing,FencingepeeTeam
1976,Montreal,ArcheryIndividual
1906,Athina,FencingFoilIndividual
2006,Torino,SpeedSkatingTeamPursuit8laps
2010,Vancouver,SpeedSkating1000metres
2010,Vancouver,SpeedSkating1500metres
2010,Vancouver,SpeedSkatingTeamPursuit8laps
1906,Athina,AthleticsDiscusThrowGreekStyle
1984,Los Angeles,Swimming4x100metresFreestyleRelay
1984,Los Angeles,Swimming4x100metresMedleyRelay
2008,Beijing,FencingFoilIndividual
1992,Barcelona,JudoMiddleweight
1972,Munich,Swimming400metresFreestyle
1972,Munich,Swimming800metresFreestyle
1972,Munich,Swimming200metresIndividualMedley
1972,Munich,Swimming400metresIndividualMedley
1984,Los Angeles,FencingFoilIndividual
1984,Los Angeles,FencingFoilTeam
1936,Garmisch-Partenkirchen,CrossCountrySkiing18kilometres
1936,Garmisch-Partenkirchen,CrossCountrySkiing4x10kilometresRelay
2000,Sydney,JudoExtraLightweight
2000,Sydney,CyclingSprint
2000,Sydney,BadmintonSingles
1908,London,ShootingFreeRifleThreePositions300metres
1908,London,ShootingFreeRifle1000Yards
2014,Sochi,CrossCountrySkiingSprint
1964,Tokyo,FencingFoilIndividual
1924,Paris,WrestlingFeatherweightFreestyle
2004,Athina,Swimming200metresButterfly
1920,Antwerpen,WrestlingMiddleweightFreestyle
