Year,Event,Gender
2012,WeightliftingSuperHeavyweight,F
1992,AlpineSkiingGiantSlalom,F
1992,AlpineSkiingSlalom,F
2008,WrestlingLightweightFreestyle,F
2012,WrestlingLightweightFreestyle,F
2008,Swimming200metresBackstroke,F
1936,PoloPolo,M
1920,FencingFoilTeam,M
1964,LugeSingles,F
1964,Athletics200metres,M
1976,Swimming100metresFreestyle,F
1976,Swimming200metresFreestyle,F
1976,Swimming4x100metresFreestyleRelay,F
1960,SailingMixedThreePersonKeelboat,X
1912,GymnasticsTeamAllAroundSwedishSystem,M
1984,CanoeingKayakDoubles1000metres,M
1988,CanoeingKayakDoubles1000metres,M
1936,ShootingFreePistol50metres,M
1952,ShootingFreeRifleThreePositions300metres,M
1968,CanoeingKayakFours1000metres,M
1936,CanoeingKayakSingles1000metres,M
1936,CanoeingCanadianSingles1000metres,M
1972,Athletics800metres,F
1972,Athletics1500metres,F
2016,JudoHalfLightweight,M
2016,JudoLightweight,M
1968,WrestlingBantamweightGrecoRoman,M
1988,WrestlingFeatherweightGrecoRoman,M
1984,BoxingLightMiddleweight,M
1964,EquestrianismMixedJumpingIndividual,X
1964,EquestrianismMixedJumpingTeam,X
1968,VolleyballVolleyball,F
1984,RowingCoxedFours,F
1992,WrestlingBantamweightGrecoRoman,M
1976,WrestlingBantamweightGrecoRoman,M
1964,ShootingFreePistol50metres,M
2010,SpeedSkating500metres,F
2008,JudoHalfLightweight,F
2012,JudoHalfLightweight,F
1998,ShortTrackSpeedSkating3000metresRelay,F
2016,Swimming100metresButterfly,F
1964,SpeedSkating1500metres,F
2004,ShootingAirPistol10metres,F
2004,ShootingSportingPistol25metres,F
2008,ShootingSportingPistol25metres,F
1988,CyclingTeamPursuit4000metres,M
1976,JudoHalfHeavyweight,M
2002,ShortTrackSpeedSkating1000metres,M
2002,ShortTrackSpeedSkating1500metres,M
2006,ShortTrackSpeedSkating500metres,M
2006,ShortTrackSpeedSkating1000metres,M
2006,ShortTrackSpeedSkating1500metres,M
2006,ShortTrackSpeedSkating5000metresRelay,M
2006,SpeedSkating500metres,M
2006,SpeedSkating1000metres,M
1948,AthleticsDiscusThrow,M
2004,WeightliftingSuperHeavyweight,M
1998,ShortTrackSpeedSkating500metres,M
1998,ShortTrackSpeedSkating1000metres,M
2002,ShortTrackSpeedSkating5000metresRelay,M
1996,SoftballSoftball,F
1992,VolleyballVolleyball,F
1996,VolleyballVolleyball,F
1988,VolleyballVolleyball,F
2004,BeachVolleyballBeachVolleyball,F
2008,BeachVolleyballBeachVolleyball,F
2016,Athletics400metresHurdles,F
1906,WeightliftingUnlimitedOneHand,M
2016,AthleticsDiscusThrow,F
2012,JudoHalfHeavyweight,M
2004,Athletics1500metres,M
1988,RowingQuadrupleSculls,F
1992,RowingQuadrupleSculls,F
1996,WeightliftingFeatherweight,M
2016,CanoeingKayakSingles500metres,F
1976,CanoeingCanadianSingles500metres,M
1976,CanoeingCanadianSingles1000metres,M
1980,CanoeingCanadianDoubles500metres,M
2006,LugeSingles,F
2016,AthleticsHammerThrow,M
1956,CanoeingKayakDoubles1000metres,M
1906,Athletics800metres,M
1906,Athletics1500metres,M
1992,Biathlon20kilometres,M
2004,SynchronizedSwimmingTeam,F
1906,Athletics400metres,M
1984,HandballHandball,F
1988,HandballHandball,F
1900,FencingFoilMastersIndividual,M
1900,FencingepeeMastersIndividual,M
2012,Swimming200metresBackstroke,M
1988,ArcheryTeam,M
1992,ArcheryIndividual,M
1992,ArcheryTeam,M
1996,ArcheryIndividual,M
1968,BoxingBantamweight,M
1948,SailingMixedThreePersonKeelboat,X
2004,TennisSingles,M
1980,WrestlingLightHeavyweightGrecoRoman,M
1980,WrestlingLightHeavyweightFreestyle,M
1964,BoxingFeatherweight,M
1904,GymnasticsIndividualAllAround,M
1904,GymnasticsIndividualAllAroundFieldSports,M
1904,GymnasticsIndividualAllAroundApparatusWork,M
1928,ArtCompetitionsMixedMusicCompositionsForSoloOrChorus,X
2000,FencingepeeIndividual,F
2000,FencingepeeTeam,F
1948,WrestlingFeatherweightGrecoRoman,M
1952,WrestlingLightweightFreestyle,M
1956,WrestlingLightweightGrecoRoman,M
1956,WrestlingLightweightFreestyle,M
1936,FigureSkatingSingles,F
2004,GymnasticsTeamAllAround,M
2008,GymnasticsTeamAllAround,M
2008,GymnasticsParallelBars,M
2008,GymnasticsRings,M
1972,FigureSkatingSingles,M
1900,Swimming4000metresFreestyle,M
1900,SwimmingUnderwaterSwimming,M
1984,HockeyHockey,F
1988,Biathlon10kilometresSprint,M
1996,Athletics10kilometresWalk,F
1920,Athletics10000metres,M
1928,SkiJumpingNormalHillIndividual,M
1908,WrestlingMiddleweightGrecoRoman,M
1932,AthleticsMarathon,M
1992,SailingMixedMultihull,X
2016,RowingCoxlessPairs,F
1900,AthleticsHighJump,M
1900,AthleticsPoleVault,M
1948,RowingCoxedPairs,M
1920,ShootingFreePistol50metres,M
2004,SailingMixedSkiff,X
1932,CrossCountrySkiing18kilometres,M
1988,Athletics20kilometresWalk,M
1920,WrestlingLightweightGrecoRoman,M
1968,NordicCombinedIndividual,M
1972,NordicCombinedIndividual,M
1948,Swimming400metresFreestyle,F
1952,Swimming400metresFreestyle,F
1932,CyclingRoadRaceIndividual,M
2000,Swimming4x100metresFreestyleRelay,M
2000,Swimming4x200metresFreestyleRelay,M
1920,CyclingSprint,M
1948,SpeedSkating10000metres,M
1952,SpeedSkating5000metres,M
1952,SpeedSkating10000metres,M
1956,SpeedSkating10000metres,M
1992,SailingTwoPersonDinghy,F
1960,Swimming200metresBreaststroke,F
1960,RowingDoubleSculls,M
1956,BoxingMiddleweight,M
1964,Athletics800metres,F
2004,BadmintonSingles,M
1912,AthleticsCrossCountryIndividual,M
1912,AthleticsCrossCountryTeam,M
1972,CanoeingKayakDoubles1000metres,M
1948,CyclingRoadRaceTeam,M
1952,CyclingTeamPursuit4000metres,M
1952,RowingCoxedFours,M
1932,Swimming100metresFreestyle,F
1932,Swimming400metresFreestyle,F
1992,SailingOnePersonDinghy,F
2004,CyclingMountainbikeCrossCountry,F
1908,ShootingFreeRifleThreePositions300metresTeam,M
1908,ShootingMilitaryRifle2005006008009001000YardsTeam,M
1912,ShootingFreeRifleThreePositions300metresTeam,M
1928,Athletics3000metresSteeplechase,M
2002,SpeedSkating1500metres,M
2006,SpeedSkating1500metres,M
1984,JudoHeavyweight,M
1976,SpeedSkating1000metres,M
1976,SpeedSkating1500metres,M
1980,SpeedSkating1000metres,M
1980,SpeedSkating1500metres,M
1960,BoxingFlyweight,M
1984,AthleticsMarathon,F
1988,AthleticsMarathon,F
2012,Swimming4x200metresFreestyleRelay,F
1960,AlpineSkiingGiantSlalom,F
1960,AlpineSkiingSlalom,F
1948,EquestrianismThreeDayEventIndividual,M
1948,EquestrianismThreeDayEventTeam,M
1996,AthleticsHighJump,M
1956,ShootingRunningTargetSingleAndDoubleShot,M
1956,RowingCoxlessFours,M
1912,ShootingSmallBoreRifleAnyPosition50metres,M
1912,ShootingSmallBoreRifleDisappearingTarget25metres,M
1964,ShootingFreeRifleThreePositions300metres,M
1988,CyclingIndividualPursuit4000metres,M
1996,CyclingIndividualPursuit4000metres,M
2000,CyclingIndividualPursuit4000metres,M
1908,CyclingSprint,M
2012,Swimming10kilometresOpenWater,F
2016,Swimming10kilometresOpenWater,F
1976,ShootingMixedFreePistol50metres,X
2014,SnowboardingSlopestyle,F
1998,SnowboardingGiantSlalom,M
2002,SnowboardingParallelGiantSlalom,M
2006,SnowboardingParallelGiantSlalom,M
2006,SnowboardingBoardercross,M
2010,SnowboardingParallelGiantSlalom,M
2014,SnowboardingParallelGiantSlalom,M
2014,SnowboardingParallelSlalom,M
1964,DivingSpringboard,M
1964,DivingPlatform,M
1968,DivingSpringboard,M
1984,AthleticsHeptathlon,F
1932,AthleticsDiscusThrow,M
1936,Athletics800metres,M
1976,AlpineSkiingDownhill,M
1980,AlpineSkiingDownhill,M
1912,Athletics110metresHurdles,M
1948,DivingSpringboard,M
1924,AthleticsDecathlon,M
1956,WeightliftingHeavyweight,M
1984,SailingMixedMultihull,X
1952,AthleticsPoleVault,M
1932,IceHockeyIceHockey,M
1964,Swimming200metresBreaststroke,M
1908,CyclingTeamPursuit1980yards,M
1908,Cycling5000metres,M
1908,Cycling20kilometres,M
1908,Cycling100kilometres,M
1900,CricketCricket,M
1984,RowingCoxedEights,F
1996,Athletics5000metres,F
2000,Athletics5000metres,F
1908,Swimming4x200metresFreestyleRelay,M
1908,Swimming200metresBreaststroke,M
1980,CanoeingKayakSingles500metres,F
1980,CanoeingKayakDoubles500metres,F
1984,CanoeingKayakSingles500metres,F
1984,CanoeingKayakDoubles500metres,F
1984,CanoeingKayakFours500metres,F
1988,CanoeingKayakSingles500metres,F
1988,CanoeingKayakDoubles500metres,F
1988,CanoeingKayakFours500metres,F
1992,CanoeingKayakDoubles500metres,F
1996,CanoeingKayakFours500metres,F
1948,IceHockeyIceHockey,M
1928,AthleticsDecathlon,M
1976,CanoeingKayakDoubles500metres,M
1976,CanoeingKayakDoubles1000metres,M
1980,CanoeingKayakSingles500metres,M
1980,CanoeingKayakSingles1000metres,M
1912,TugOfWarTugOfWar,M
1948,WeightliftingFeatherweight,M
1952,WeightliftingLightweight,M
1908,Athletics1500metres,M
1976,CanoeingKayakSingles1000metres,M
1980,CanoeingKayakFours1000metres,M
1908,WrestlingMiddleweightFreestyle,M
1972,ShootingMixedRapidFirePistol25metres,X
1976,ShootingMixedRapidFirePistol25metres,X
2014,SpeedSkating1000metres,M
2014,SpeedSkating1500metres,M
2004,ShootingRunningTarget10metres,M
1912,Swimming100metresFreestyle,M
1976,WrestlingLightHeavyweightGrecoRoman,M
1980,WrestlingHeavyweightFreestyle,M
1984,WrestlingLightHeavyweightGrecoRoman,M
1984,WrestlingLightHeavyweightFreestyle,M
1980,SailingMixedThreePersonKeelboat,X
1948,WrestlingWelterweightGrecoRoman,M
1952,WrestlingWelterweightGrecoRoman,M
1976,Swimming4x100metresMedleyRelay,F
1932,ShootingSmallBoreRifleProne50metres,M
1928,SpeedSkating500metres,M
1928,SpeedSkating1500metres,M
1928,SpeedSkating5000metres,M
1928,SpeedSkating10000metres,M
1936,AthleticsDiscusThrow,M
1948,CanoeingCanadianSingles1000metres,M
1948,CanoeingCanadianSingles10000metres,M
1952,CanoeingCanadianSingles1000metres,M
1992,DivingSpringboard,M
1906,DivingPlatform,M
2004,ArcheryIndividual,M
2004,ArcheryTeam,M
1984,WrestlingLightFlyweightGrecoRoman,M
1984,WrestlingLightFlyweightFreestyle,M
1994,AlpineSkiingGiantSlalom,F
1952,WeightliftingHeavyweight,M
1988,EquestrianismMixedDressageIndividual,X
1988,EquestrianismMixedDressageTeam,X
1968,CanoeingKayakDoubles1000metres,M
1988,Biathlon20kilometres,M
1988,Biathlon4x75kilometresRelay,M
1992,Biathlon4x75kilometresRelay,M
1994,Biathlon20kilometres,M
1994,Biathlon4x75kilometresRelay,M
1976,WrestlingMiddleweightGrecoRoman,M
1936,AthleticsTripleJump,M
2002,CrossCountrySkiingSprint,F
2002,CrossCountrySkiing10kilometres,F
2006,CrossCountrySkiing30kilometres,F
2006,CrossCountrySkiingTeamSprint,F
1988,ArcheryTeam,F
1968,Swimming100metresFreestyle,F
1968,Swimming200metresButterfly,F
2004,SailingTwoPersonDinghy,M
1996,CyclingIndividualTimeTrial,M
2000,CyclingIndividualTimeTrial,M
1968,Athletics20kilometresWalk,M
2000,JudoLightweight,F
1908,WaterPoloWaterPolo,M
1908,Swimming100metresFreestyle,M
1908,Swimming400metresFreestyle,M
1920,Swimming4x200metresFreestyleRelay,M
1972,WrestlingLightHeavyweightGrecoRoman,M
1972,WrestlingLightHeavyweightFreestyle,M
1936,IceHockeyIceHockey,M
1936,WrestlingWelterweightFreestyle,M
1928,CrossCountrySkiing18kilometres,M
1928,CrossCountrySkiing50kilometres,M
1908,Swimming1500metresFreestyle,M
1912,Swimming1500metresFreestyle,M
1964,WrestlingMiddleweightGrecoRoman,M
1924,AthleticsCrossCountryIndividual,M
1924,AthleticsCrossCountryTeam,M
2008,WeightliftingLightHeavyweight,M
2012,BoxingMiddleweight,F
1980,CrossCountrySkiing10kilometres,F
1980,CrossCountrySkiing4x5kilometresRelay,F
1984,CrossCountrySkiing5kilometres,F
1984,CrossCountrySkiing10kilometres,F
1984,CrossCountrySkiing20kilometres,F
1984,CrossCountrySkiing4x5kilometresRelay,F
1976,WrestlingSuperHeavyweightFreestyle,M
1980,WrestlingSuperHeavyweightFreestyle,M
1996,AthleticsPoleVault,M
2000,EquestrianismMixedThreeDayEventIndividual,X
1998,FreestyleSkiingAerials,M
1972,WeightliftingFeatherweight,M
1976,WeightliftingBantamweight,M
1984,WrestlingSuperHeavyweightGrecoRoman,M
2006,FigureSkatingSingles,F
2010,FigureSkatingSingles,F
2000,CanoeingKayakSinglesSlalom,M
2004,JudoHeavyweight,F
1980,AthleticsDecathlon,M
1988,AthleticsHighJump,F
1992,AthleticsHighJump,F
2008,Swimming400metresIndividualMedley,F
1984,Swimming4x200metresFreestyleRelay,M
2008,BoxingWelterweight,M
1960,DivingSpringboard,M
2008,SailingMixedSkiff,X
2012,SailingSkiff,M
1998,FigureSkatingSingles,F
1952,BoxingMiddleweight,M
1908,AthleticsHighJump,M
1912,AthleticsPentathlon,M
1920,Athletics400metresHurdles,M
1924,Athletics400metresHurdles,M
1972,Athletics100metresHurdles,F
2000,AthleticsPoleVault,M
1956,BoxingWelterweight,M
1992,JudoHalfHeavyweight,F
1906,AthleticsHighJump,M
1906,AthleticsTripleJump,M
1988,RowingDoubleSculls,F
1920,BoxingLightHeavyweight,M
2002,Biathlon75kilometresSprint,F
2002,Biathlon10kilometresPursuit,F
1976,RowingCoxlessFours,M
1936,BoxingWelterweight,M
1980,WrestlingHeavyweightGrecoRoman,M
1984,WrestlingHeavyweightGrecoRoman,M
1984,WrestlingSuperHeavyweightFreestyle,M
1968,Swimming100metresBackstroke,F
1968,Swimming200metresBackstroke,F
2006,CrossCountrySkiing50kilometres,M
1924,BoxingBantamweight,M
1920,GymnasticsTeamAllAround,M
1896,Athletics110metresHurdles,M
1896,Swimming1200metresFreestyle,M
2012,ShootingSkeet,F
1998,CurlingCurling,M
1956,SailingMixedThreePersonKeelboat,X
1998,Biathlon10kilometresSprint,M
1998,Biathlon20kilometres,M
2002,Biathlon10kilometresSprint,M
2002,Biathlon125kilometresPursuit,M
2002,Biathlon20kilometres,M
2002,Biathlon4x75kilometresRelay,M
2006,Biathlon10kilometresSprint,M
2006,Biathlon125kilometresPursuit,M
2006,Biathlon15kilometresMassStart,M
2006,Biathlon20kilometres,M
2006,Biathlon4x75kilometresRelay,M
1952,CyclingRoadRaceIndividual,M
1952,CyclingRoadRaceTeam,M
2006,CrossCountrySkiing30kmSkiathlon,M
1968,Biathlon20kilometres,M
1968,Biathlon4x75kilometresRelay,M
1960,Swimming100metresButterfly,F
1960,Swimming4x100metresMedleyRelay,F
1998,SnowboardingHalfpipe,M
2002,SnowboardingHalfpipe,M
2012,JudoHeavyweight,M
1904,Cycling14mile,M
1904,Cycling12mile,M
1904,Cycling5mile,M
1904,Cycling25mile,M
2016,Athletics10000metres,F
1932,ArtCompetitionsMixedArchitectureUnknownEvent,X
2014,CurlingCurling,M
1908,CyclingTandemSprint2000metres,M
2008,AthleticsPoleVault,M
2004,AthleticsDecathlon,M
1980,AlpineSkiingSlalom,M
2016,Swimming200metresBreaststroke,F
2008,CyclingMountainbikeCrossCountry,F
2012,Swimming4x100metresFreestyleRelay,F
2016,Swimming4x100metresFreestyleRelay,F
2016,Swimming200metresIndividualMedley,F
1984,AlpineSkiingGiantSlalom,F
1984,AlpineSkiingSlalom,F
1976,BoxingBantamweight,M
1936,ArtCompetitionsMixedPaintingUnknownEvent,X
1896,GymnasticsRopeClimbing,M
1972,JudoHalfMiddleweight,M
1972,JudoHeavyweight,M
1972,GymnasticsIndividualAllAround,M
1972,GymnasticsTeamAllAround,M
1972,GymnasticsFloorExercise,M
1972,GymnasticsHorseVault,M
1972,GymnasticsParallelBars,M
1972,GymnasticsHorizontalBar,M
1972,GymnasticsRings,M
1972,GymnasticsPommelledHorse,M
1976,GymnasticsIndividualAllAround,M
1976,GymnasticsTeamAllAround,M
1976,GymnasticsFloorExercise,M
1976,GymnasticsHorseVault,M
1976,GymnasticsParallelBars,M
1976,GymnasticsHorizontalBar,M
1976,GymnasticsRings,M
1976,GymnasticsPommelledHorse,M
1980,GymnasticsIndividualAllAround,M
1980,GymnasticsTeamAllAround,M
1980,GymnasticsFloorExercise,M
1980,GymnasticsHorseVault,M
1980,GymnasticsParallelBars,M
1980,GymnasticsHorizontalBar,M
1980,GymnasticsRings,M
1980,GymnasticsPommelledHorse,M
1976,AthleticsDiscusThrow,F
2008,Athletics800metres,F
2000,RowingCoxlessPairs,F
1920,ShootingSmallBoreRifleStanding50metres,M
1920,ShootingSmallBoreRifleStanding50metresTeam,M
1952,Cycling1000metresTimeTrial,M
1992,RowingCoxlessPairs,M
1996,RowingCoxlessPairs,M
1988,CanoeingCanadianDoubles500metres,M
1988,CanoeingCanadianDoubles1000metres,M
1996,CanoeingCanadianDoubles500metres,M
2004,BadmintonSingles,F
2012,WrestlingHeavyweightFreestyle,M
2016,WrestlingHeavyweightFreestyle,M
1936,SpeedSkating500metres,M
1936,SpeedSkating1500metres,M
1936,SpeedSkating5000metres,M
2004,RhythmicGymnasticsIndividual,F
2008,RhythmicGymnasticsIndividual,F
2004,CyclingIndividualTimeTrial,M
2012,RowingQuadrupleSculls,M
1920,Athletics110metresHurdles,M
1920,AthleticsHighJump,M
1920,AthleticsPentathlon,M
1920,AthleticsDecathlon,M
2004,Athletics50kilometresWalk,M
1956,Swimming1500metresFreestyle,M
1960,Swimming1500metresFreestyle,M
1968,FencingSabreIndividual,M
2012,CyclingRoadRaceIndividual,F
2016,Swimming4x200metresFreestyleRelay,M
1980,RowingQuadrupleSculls,M
1924,WeightliftingFeatherweight,M
1928,WeightliftingFeatherweight,M
2008,FencingepeeTeam,M
1976,ArcheryIndividual,M
1906,FencingFoilIndividual,M
2006,SpeedSkatingTeamPursuit8laps,M
2010,SpeedSkating1000metres,M
2010,SpeedSkating1500metres,M
2010,SpeedSkatingTeamPursuit8laps,M
1906,AthleticsDiscusThrowGreekStyle,M
1984,Swimming4x100metresFreestyleRelay,M
1984,Swimming4x100metresMedleyRelay,M
2008,FencingFoilIndividual,F
1992,JudoMiddleweight,M
1972,Swimming400metresFreestyle,F
1972,Swimming800metresFreestyle,F
1972,Swimming200metresIndividualMedley,F
1972,Swimming400metresIndividualMedley,F
1984,FencingFoilIndividual,F
1984,FencingFoilTeam,F
1936,CrossCountrySkiing18kilometres,M
1936,CrossCountrySkiing4x10kilometresRelay,M
2000,JudoExtraLightweight,F
2000,CyclingSprint,M
2000,BadmintonSingles,F
1908,ShootingFreeRifleThreePositions300metres,M
1908,ShootingFreeRifle1000Yards,M
2014,CrossCountrySkiingSprint,M
1964,FencingFoilIndividual,F
1924,WrestlingFeatherweightFreestyle,M
2004,Swimming200metresButterfly,F
1920,WrestlingMiddleweightFreestyle,M
1972,BoxingLightWelterweight,M
2000,Swimming200metresBackstroke,M
1968,AlpineSkiingDownhill,M
1968,AlpineSkiingGiantSlalom,M
1936,EquestrianismThreeDayEventIndividual,M
1936,EquestrianismThreeDayEventTeam,M
1976,WrestlingLightFlyweightGrecoRoman,M
1996,FencingFoilIndividual,F
1996,AthleticsDiscusThrow,F
1972,AthleticsPentathlon,F
2014,CrossCountrySkiingSprint,F
1936,SailingMixedOnePersonDinghy,X
1988,CrossCountrySkiing4x5kilometresRelay,F
2002,CrossCountrySkiingSprint,M
2010,CrossCountrySkiing15kilometres,M
2010,CrossCountrySkiing50kilometres,M
2010,CrossCountrySkiing30kmSkiathlon,M
2010,CrossCountrySkiing4x10kilometresRelay,M
2014,CrossCountrySkiing30kmSkiathlon,M
2014,CrossCountrySkiing4x10kilometresRelay,M
2010,SpeedSkating1000metres,F
2014,SpeedSkating1000metres,F
2014,SpeedSkating1500metres,F
2010,LugeMixedsDoubles,M
1988,BobsleighFour,M
2010,CurlingCurling,M
1920,AthleticsJavelinThrow,M
2008,GymnasticsHorizontalBar,M
1964,EquestrianismMixedThreeDayEventIndividual,X
1964,EquestrianismMixedThreeDayEventTeam,X
1948,WrestlingWelterweightFreestyle,M
1932,ModernPentathlonIndividual,M
1928,WrestlingFeatherweightFreestyle,M
1976,HandballHandball,F
1936,Swimming400metresFreestyle,M
1936,Swimming1500metresFreestyle,M
1948,RowingDoubleSculls,M
2000,ShootingRunningTarget10metres,M
2004,TennisDoubles,F
2008,TennisDoubles,F
2012,TaekwondoWelterweight,F
1956,CrossCountrySkiing4x10kilometresRelay,M
1960,CrossCountrySkiing50kilometres,M
1900,WaterPoloWaterPolo,M
2016,Swimming100metresButterfly,M
1992,CanoeingKayakSingles500metres,M
1992,CanoeingKayakSingles1000metres,M
1964,Athletics400metresHurdles,M
2000,TriathlonOlympicDistance,F
1976,Athletics100metresHurdles,F
1980,Athletics100metresHurdles,F
1998,FigureSkatingMixedIceDancing,X
2002,FigureSkatingMixedIceDancing,X
1988,RowingCoxedFours,F
1984,SailingMixedTwoPersonKeelboat,X
1988,SailingMixedTwoPersonKeelboat,X
1924,EquestrianismDressageIndividual,M
1928,EquestrianismThreeDayEventIndividual,M
1928,EquestrianismThreeDayEventTeam,M
1972,Swimming200metresBreaststroke,F
1976,Swimming100metresBreaststroke,F
1976,Swimming200metresBreaststroke,F
1964,AlpineSkiingSlalom,F
1968,AlpineSkiingDownhill,F
1908,SailingMixed8metres,X
1964,AthleticsPoleVault,M
1972,BoxingWelterweight,M
2016,CyclingTeamPursuit,F
1992,HockeyHockey,F
1928,BoxingWelterweight,M
2006,BobsleighTwo,M
1988,FigureSkatingMixedIceDancing,X
1984,AthleticsHighJump,M
1896,Swimming100metresFreestyle,M
1920,Swimming400metresFreestyle,M
1920,Swimming1500metresFreestyle,M
1924,Swimming400metresFreestyle,M
1924,Swimming1500metresFreestyle,M
1924,Swimming4x200metresFreestyleRelay,M
1980,AthleticsHighJump,F
1932,Athletics100metres,M
1932,Athletics4x100metresRelay,M
1996,JudoHeavyweight,F
2000,JudoHalfHeavyweight,F
1920,RowingDoubleSculls,M
1964,AthleticsLongJump,F
1936,ArtCompetitionsMixedPaintingPaintings,X
2016,FencingepeeTeam,M
1964,DivingSpringboard,F
1968,DivingSpringboard,F
2016,CanoeingKayakSingles1000metres,M
2016,CanoeingKayakFours1000metres,M
1996,CanoeingKayakDoubles500metres,M
2016,WrestlingFeatherweightFreestyle,M
2002,SpeedSkating3000metres,F
2002,SpeedSkating5000metres,F
2006,SpeedSkating3000metres,F
2006,SpeedSkating5000metres,F
2010,SpeedSkating3000metres,F
2010,SpeedSkating5000metres,F
2010,SpeedSkatingTeamPursuit6laps,F
1968,FencingFoilIndividual,F
1920,Athletics3000metresWalk,M
1920,Athletics10kilometresWalk,M
1932,FencingSabreTeam,M
1996,ShootingRapidFirePistol25metres,M
1928,BobsleighFourFive,M
2006,SkeletonSkeleton,M
1912,Athletics800metres,M
1964,AthleticsJavelinThrow,F
1968,AthleticsJavelinThrow,F
1976,WeightliftingLightHeavyweight,M
1896,ShootingFreeRifleThreePositions300metres,M
1932,ArtCompetitionsMixedSculpturingUnknownEvent,X
1952,Athletics4x100metresRelay,F
2006,SnowboardingBoardercross,F
2010,SnowboardingBoardercross,F
2014,SnowboardingBoardercross,F
2008,WeightliftingMiddleweight,M
1928,RowingCoxedPairs,M
1972,ShootingMixedRunningTarget50metres,X
1976,ShootingMixedRunningTarget50metres,X
2008,JudoHalfMiddleweight,M
2012,JudoMiddleweight,M
1984,SynchronizedSwimmingDuet,F
2012,AthleticsDiscusThrow,F
1920,AthleticsShotPut,M
1952,EquestrianismJumpingIndividual,M
1952,EquestrianismJumpingTeam,M
2014,SkeletonSkeleton,M
1996,ShootingAirRifle10metres,F
1996,ShootingSmallBoreRifleThreePositions50metres,F
2016,CanoeingCanadianDoublesSlalom,M
2008,WaterPoloWaterPolo,F
1956,ShootingFreeRifleThreePositions300metres,M
1956,ShootingSmallBoreRifleThreePositions50metres,M
1956,ShootingSmallBoreRifleProne50metres,M
1920,FencingepeeIndividual,M
1928,GymnasticsIndividualAllAround,M
1928,GymnasticsTeamAllAround,M
1928,GymnasticsHorseVault,M
1928,GymnasticsParallelBars,M
1928,GymnasticsHorizontalBar,M
1928,GymnasticsRings,M
1928,GymnasticsPommelledHorse,M
2014,LugeMixedsDoubles,M
2014,LugeMixedTeamRelay,X
2000,AthleticsDiscusThrow,F
1964,CanoeingKayakDoubles500metres,F
1968,CanoeingKayakDoubles500metres,F
1972,CanoeingKayakDoubles500metres,F
1948,WrestlingHeavyweightFreestyle,M
1952,WrestlingHeavyweightFreestyle,M
1956,WrestlingHeavyweightGrecoRoman,M
1960,WrestlingMiddleweightFreestyle,M
1992,BadmintonDoubles,M
1998,CrossCountrySkiing15kilometres,F
1908,GymnasticsIndividualAllAround,M
1928,Swimming400metresFreestyle,M
1928,Swimming1500metresFreestyle,M
2012,CyclingIndividualTimeTrial,F
2008,RowingDoubleSculls,F
2012,RowingDoubleSculls,F
1992,BadmintonSingles,M
1996,BadmintonDoubles,M
1924,Athletics1500metres,M
1964,SpeedSkating10000metres,M
1968,SpeedSkating1500metres,M
2010,CrossCountrySkiing10kilometres,F
2010,CrossCountrySkiing15kmSkiathlon,F
2010,CrossCountrySkiing4x5kilometresRelay,F
2010,CrossCountrySkiingTeamSprint,F
2014,CrossCountrySkiing4x5kilometresRelay,F
1920,WrestlingLightweightFreestyle,M
1924,WrestlingFeatherweightGrecoRoman,M
2012,Athletics400metresHurdles,F
1994,SpeedSkating5000metres,M
1994,SpeedSkating10000metres,M
1968,WrestlingHeavyweightFreestyle,M
1972,WrestlingHeavyweightFreestyle,M
2004,TaekwondoFlyweight,F
1952,RowingCoxedPairs,M
2004,FencingFoilIndividual,M
2004,FencingFoilTeam,M
1968,AthleticsDecathlon,M
1992,BoxingSuperHeavyweight,M
2016,CanoeingKayakDoubles500metres,F
1972,AlpineSkiingDownhill,M
1972,SkiJumpingNormalHillIndividual,M
2016,FencingSabreIndividual,F
1994,CrossCountrySkiing5kilometres,F
1994,CrossCountrySkiing510kilometresPursuit,F
1952,SpeedSkating500metres,M
1972,Swimming200metresButterfly,F
1960,WrestlingMiddleweightGrecoRoman,M
2010,SnowboardingHalfpipe,M
2014,SnowboardingHalfpipe,M
1976,BasketballBasketball,F
1988,Athletics1500metres,F
1988,Athletics3000metres,F
1992,BoxingLightHeavyweight,M
1996,VolleyballVolleyball,M
1988,SpeedSkating5000metres,M
1988,SpeedSkating10000metres,M
1988,AthleticsDecathlon,M
1956,Athletics400metresHurdles,M
1906,FencingSabreIndividual,M
1906,FencingSabreIndividualThreeHits,M
1906,FencingSabreTeam,M
1992,NordicCombinedTeam,M
1948,CanoeingKayakSingles500metres,F
1928,BoxingFlyweight,M
1948,AthleticsJavelinThrow,M
1988,AthleticsDiscusThrow,F
1968,RowingDoubleSculls,M
1936,EquestrianismJumpingIndividual,M
1936,EquestrianismJumpingTeam,M
1980,LugeMixedsDoubles,M
1984,LugeSingles,M
1984,LugeMixedsDoubles,M
1992,LugeSingles,M
1992,LugeMixedsDoubles,M
1994,LugeMixedsDoubles,M
2000,CanoeingKayakSingles500metres,M
2000,CanoeingKayakSingles1000metres,M
1976,FencingSabreIndividual,M
1906,CyclingSprint,M
1972,WrestlingLightweightGrecoRoman,M
1960,FencingFoilIndividual,F
1996,RowingCoxedEights,F
1992,TennisSingles,F
1996,TennisSingles,F
1996,TennisDoubles,F
2000,TennisSingles,F
