Year,Event,Gender
2016,WeightliftingMiddleweight,M
2008,Athletics1500metres,M
1984,FootballFootball,M
2012,WeightliftingLightHeavyweight,M
2016,WeightliftingMiddleHeavyweight,M
1952,Athletics5000metres,M
2004,ShootingAirRifle10metres,M
2008,ShootingAirRifle10metres,M
2016,FootballFootball,M
2016,SynchronizedSwimmingTeam,F
2012,WrestlingLightweightGrecoRoman,M
2016,JudoExtraLightweight,M
2012,AthleticsJavelinThrow,M
2000,GymnasticsIndividualAllAround,M
2000,GymnasticsHorseVault,M
2000,GymnasticsParallelBars,M
2000,GymnasticsRings,M
2000,GymnasticsPommelledHorse,M
1980,Athletics5000metres,M
1992,Athletics800metres,M
2008,VolleyballVolleyball,F
2012,VolleyballVolleyball,F
2012,WrestlingWelterweightGrecoRoman,M
2016,WrestlingMiddleweightGrecoRoman,M
2016,Athletics10000metres,M
2008,Athletics3000metresSteeplechase,M
2012,Athletics3000metresSteeplechase,M
1992,Athletics3000metresSteeplechase,M
1996,Athletics3000metresSteeplechase,M
1988,Athletics10000metres,M
1992,AthleticsMarathon,M
1928,FencingFoilIndividual,M
1928,FencingFoilTeam,M
1936,FencingFoilIndividual,M
1936,FencingFoilTeam,M
1936,FencingepeeIndividual,M
1936,FencingepeeTeam,M
2000,Athletics10000metres,M
2004,Athletics10000metres,M
2008,Athletics10000metres,M
2012,AthleticsMarathon,M
2000,WrestlingWelterweightGrecoRoman,M
2004,WrestlingMiddleweightFreestyle,M
2008,WrestlingMiddleweightFreestyle,M
1984,Swimming100metresBackstroke,F
1984,Swimming200metresBackstroke,F
1984,Swimming4x100metresMedleyRelay,F
1976,FootballFootball,M
2012,BoxingLightweight,M
2000,WrestlingLightHeavyweightFreestyle,M
2004,ModernPentathlonIndividual,M
1988,ModernPentathlonIndividual,M
1988,ModernPentathlonTeam,M
1992,ModernPentathlonIndividual,M
1992,ModernPentathlonTeam,M
1996,Athletics200metres,M
2016,VolleyballVolleyball,F
1952,BoxingBantamweight,M
2016,Athletics200metres,F
1980,Athletics4x400metresRelay,M
1996,HockeyHockey,M
2000,TableTennisSingles,F
2000,TableTennisDoubles,F
2008,TableTennisSingles,F
1996,ShootingSkeet,M
2000,ShootingSkeet,M
2000,Swimming50metresFreestyle,M
1928,Athletics110metresHurdles,M
1928,Athletics400metresHurdles,M
1960,WeightliftingHeavyweight,M
1964,WeightliftingHeavyweight,M
1980,FootballFootball,M
1980,WeightliftingLightHeavyweight,M
1976,Athletics200metres,M
1960,BoxingLightweight,M
1992,Athletics4x400metresRelay,M
1988,AthleticsMarathon,M
2000,Swimming50metresFreestyle,F
1976,WaterPoloWaterPolo,M
1984,ShootingSmallBoreRifleThreePositions50metres,M
1984,ShootingRapidFirePistol25metres,M
1972,CyclingRoadRaceIndividual,M
1968,Athletics400metresHurdles,M
1960,HockeyHockey,M
1964,HockeyHockey,M
2008,Athletics100metres,F
2012,Athletics100metres,F
1960,AthleticsTripleJump,M
1960,AthleticsHighJump,M
1948,HockeyHockey,M
1980,WrestlingFlyweightGrecoRoman,M
1936,DivingPlatform,M
1948,DivingPlatform,M
1996,ShootingAirRifle10metres,M
1980,Swimming400metresFreestyle,M
1980,Swimming100metresButterfly,M
1952,HockeyHockey,M
2004,WeightliftingLightweight,F
1968,Athletics100metres,M
1968,Athletics4x100metresRelay,M
1972,Athletics4x100metresRelay,M
2008,AthleticsLongJump,F
2012,FencingepeeIndividual,F
1972,WrestlingFeatherweightFreestyle,M
1968,Swimming100metresFreestyle,M
1968,Swimming200metresFreestyle,M
1968,Swimming4x100metresFreestyleRelay,M
1968,Swimming4x200metresFreestyleRelay,M
1968,Swimming4x100metresMedleyRelay,M
1988,Swimming200metresButterfly,M
2004,RowingDoubleSculls,M
1992,WeightliftingMiddleHeavyweight,M
1988,Swimming4x100metresFreestyleRelay,M
1988,Swimming4x200metresFreestyleRelay,M
1988,Swimming100metresBackstroke,M
1988,Swimming200metresBackstroke,M
1988,Swimming200metresIndividualMedley,M
1988,Swimming4x100metresMedleyRelay,M
1984,Athletics100metres,M
1960,AthleticsPoleVault,M
1996,Swimming200metresIndividualMedley,M
1996,Swimming400metresIndividualMedley,M
2000,Swimming400metresIndividualMedley,M
1992,BadmintonSingles,F
1996,BadmintonSingles,F
1968,BoxingLightMiddleweight,M
1972,BoxingMiddleweight,M
1988,TennisSingles,M
2016,BoxingHeavyweight,M
1996,WrestlingBantamweightFreestyle,M
2000,WrestlingFeatherweightFreestyle,M
1996,BoxingLightweight,M
2000,BoxingLightWelterweight,M
2012,WrestlingSuperHeavyweightGrecoRoman,M
2016,WrestlingSuperHeavyweightGrecoRoman,M
1996,WrestlingFlyweightFreestyle,M
2000,WrestlingBantamweightFreestyle,M
2012,Athletics5000metres,F
2008,WrestlingMiddleweightGrecoRoman,M
1972,Swimming100metresFreestyle,M
2008,WeightliftingLightHeavyweight,F
2012,WeightliftingHeavyweight,F
2012,FootballFootball,M
2012,SynchronizedSwimmingDuet,F
1980,AthleticsDiscusThrow,M
1988,Athletics110metresHurdles,M
1992,Athletics110metresHurdles,M
2008,WeightliftingFeatherweight,M
2012,WeightliftingLightweight,M
2004,BoxingMiddleweight,M
2008,TaekwondoFeatherweight,M
2012,TaekwondoWelterweight,M
2016,WrestlingMiddleweightFreestyle,M
2016,JudoHeavyweight,M
2008,WrestlingLightHeavyweightFreestyle,M
2012,WrestlingLightHeavyweightFreestyle,M
1980,CyclingSprint,M
1992,AthleticsHammerThrow,M
2000,AthleticsHammerThrow,M
1988,CyclingRoadRaceIndividual,M
1996,CyclingRoadRaceIndividual,M
2004,BoxingBantamweight,M
1936,AthleticsHammerThrow,M
1972,BobsleighTwo,M
1972,BobsleighFour,M
1976,BobsleighTwo,M
1976,BobsleighFour,M
1960,WrestlingLightweightFreestyle,M
1988,NordicCombinedTeam,M
1988,NordicCombinedIndividual,M
1992,NordicCombinedIndividual,M
1994,NordicCombinedTeam,M
1994,NordicCombinedIndividual,M
1968,AthleticsLongJump,M
1936,RowingCoxedPairs,M
2000,BaseballBaseball,M
2008,BaseballBaseball,M
1984,RowingCoxedFours,M
1988,RowingCoxedEights,M
1992,RowingCoxedEights,M
1984,CyclingRoadRaceIndividual,F
1980,HandballHandball,F
1992,Athletics5000metres,M
1992,Athletics10000metres,M
1992,CyclingRoadRaceIndividual,M
1992,Cycling100kilometresTeamTimeTrial,M
1988,BoxingFlyweight,M
2012,FencingSabreIndividual,M
2016,FencingSabreIndividual,M
1924,FootballFootball,M
1972,VolleyballVolleyball,M
1976,VolleyballVolleyball,M
2004,RhythmicGymnasticsGroup,F
1928,ArtCompetitionsMixedArchitectureDesignsForTownPlanning,X
1928,ArtCompetitionsMixedArchitectureArchitecturalDesigns,X
1924,IceHockeyIceHockey,M
1952,IceHockeyIceHockey,M
1976,NordicCombinedIndividual,M
1980,NordicCombinedIndividual,M
1972,GymnasticsIndividualAllAround,F
1972,GymnasticsTeamAllAround,F
1972,GymnasticsFloorExercise,F
1972,GymnasticsHorseVault,F
1972,GymnasticsUnevenBars,F
1972,GymnasticsBalanceBeam,F
2008,DivingSpringboard,F
2012,DivingSpringboard,F
2012,DivingSynchronizedSpringboard,F
2016,DivingSpringboard,F
2016,DivingSynchronizedSpringboard,F
2008,GymnasticsIndividualAllAround,F
2008,GymnasticsTeamAllAround,F
2008,GymnasticsFloorExercise,F
2008,GymnasticsUnevenBars,F
2008,GymnasticsBalanceBeam,F
2000,Athletics10000metres,F
1924,ShootingSmallBoreRifleProne50metres,M
1948,ShootingSmallBoreRifleProne50metres,M
1952,ShootingSmallBoreRifleThreePositions50metres,M
1952,ShootingSmallBoreRifleProne50metres,M
1920,SailingMixed7metres,X
2012,JudoHalfMiddleweight,F
2008,AthleticsDecathlon,M
2016,AthleticsDecathlon,M
1960,GymnasticsIndividualAllAround,F
1960,GymnasticsFloorExercise,F
1960,GymnasticsHorseVault,F
1960,GymnasticsUnevenBars,F
1960,GymnasticsBalanceBeam,F
1900,RowingCoxedEights,M
1904,RowingCoxedEights,M
1980,Biathlon10kilometresSprint,M
1980,Biathlon20kilometres,M
1980,Biathlon4x75kilometresRelay,M
1996,Athletics4x100metresRelay,F
2000,AthleticsMarathon,M
2016,AthleticsMarathon,M
1968,RowingCoxedFours,M
1972,RowingCoxedEights,M
1976,RowingCoxedFours,M
1912,AthleticsHammerThrow,M
1992,FreestyleSkiingMoguls,M
1912,AthleticsLongJump,M
1912,AthleticsTripleJump,M
1988,Swimming50metresFreestyle,F
1912,WrestlingMiddleweightAGrecoRoman,M
1948,AthleticsDiscusThrow,F
1952,Athletics1500metres,M
1988,LugeSingles,F
1992,LugeSingles,F
1994,LugeSingles,F
1998,LugeSingles,F
2002,LugeSingles,F
1956,Swimming4x100metresFreestyleRelay,F
1956,Swimming100metresBackstroke,F
1952,AlpineSkiingSlalom,F
2004,Athletics1500metres,F
2004,Athletics5000metres,F
2008,Athletics5000metres,F
2008,Athletics10000metres,F
2000,ShootingAirPistol10metres,F
2000,ShootingSportingPistol25metres,F
2016,Swimming100metresFreestyle,M
2016,BoxingFlyweight,M
1992,CanoeingKayakDoubles500metres,M
1996,CanoeingKayakSingles500metres,M
2008,CanoeingKayakSingles500metres,M
2008,CanoeingKayakSingles1000metres,M
2008,BadmintonSingles,M
2012,BadmintonSingles,M
2016,BadmintonSingles,M
1984,ShootingRunningTarget50metres,M
1988,DivingPlatform,F
1988,FootballFootball,M
1972,Athletics800metres,M
1972,Athletics1500metres,M
2008,JudoHalfHeavyweight,F
2008,Athletics4x400metresRelay,M
2012,AthleticsPoleVault,F
2016,RugbySevensRugbySevens,F
1976,WrestlingMiddleweightFreestyle,M
1980,WrestlingMiddleweightFreestyle,M
2012,FootballFootball,F
2016,FootballFootball,F
2012,Athletics4x100metresRelay,F
2016,TableTennisTeam,M
1980,BoxingBantamweight,M
1984,BoxingBantamweight,M
1998,FigureSkatingMixedPairs,X
2004,BoxingLightFlyweight,M
2016,WaterPoloWaterPolo,F
2002,FreestyleSkiingAerials,M
2006,FreestyleSkiingAerials,M
2010,FreestyleSkiingAerials,M
1928,WaterPoloWaterPolo,M
1936,WaterPoloWaterPolo,M
1932,Athletics4x400metresRelay,M
2012,GymnasticsTeamAllAround,M
2012,GymnasticsFloorExercise,M
2012,GymnasticsHorseVault,M
2012,GymnasticsParallelBars,M
2012,GymnasticsHorizontalBar,M
2012,GymnasticsRings,M
2016,GymnasticsTeamAllAround,M
2016,GymnasticsHorseVault,M
1976,RowingCoxedEights,F
1996,FootballFootball,M
2012,Athletics4x400metresRelay,F
