Athlete_ID,NOC
798,Iceland
799,Israel
800,Israel
801,Israel
802,Israel
803,Italy Soviet Union
804,Italy
805,Italy
806,Italy
807,Italy
808,Italy
809,Italy
810,Italy
811,Italy
812,Italy
813,Italy
814,Italy
815,Italy
816,Italy
817,Italy
818,Italy
819,Italy
820,Italy
821,Italy
822,Italy
823,Italy
824,Italy
825,Italy
826,Italy
827,Italy
828,Italy
829,Italy
830,Jamaica
831,Jamaica
832,Jamaica
833,Jordan
834,Jordan
835,Japan
836,Japan
837,Japan
838,Japan
839,Japan
840,Japan
841,Japan
842,Japan
843,Japan
844,Japan
845,Japan
846,Japan
847,Japan
848,Japan
849,Japan
850,Japan
851,Japan
852,Japan
853,Japan
854,Japan
855,Japan
856,Japan
857,Japan
858,Japan
859,Japan
860,Japan
861,Japan
862,Japan
863,Japan
864,Japan
865,Japan
866,Japan
867,Japan
868,Japan
869,Japan
870,Japan
871,Japan
872,Japan
873,Japan
874,Japan
875,Japan
876,Japan
877,Japan
878,Japan
879,Japan
880,Japan
881,Japan
882,Japan
883,Japan
884,Republic of Korea
885,Republic of Korea
886,Republic of Korea
887,Republic of Korea
888,Republic of Korea
889,Republic of Korea
890,Republic of Korea
891,Republic of Korea
892,Republic of Korea
893,Republic of Korea
894,Republic of Korea
895,Republic of Korea
896,Republic of Korea
897,Republic of Korea
898,Republic of Korea
899,Republic of Korea
900,Republic of Korea
901,Republic of Korea
902,Republic of Korea
903,Republic of Korea
904,Republic of Korea
905,Republic of Korea
906,Republic of Korea
907,Republic of Korea
908,Republic of Korea
909,Republic of Korea
910,Republic of Korea
911,Republic of Korea
912,Republic of Korea
913,Republic of Korea
914,Republic of Korea
915,Republic of Korea
916,Republic of Korea
917,Republic of Korea
918,Republic of Korea
919,Republic of Korea
920,Republic of Korea
921,Republic of Korea
922,Republic of Korea
923,Republic of Korea
924,Republic of Korea
925,Republic of Korea
926,Republic of Korea
927,Republic of Korea
928,Republic of Korea
929,Republic of Korea
930,Republic of Korea
931,Republic of Korea
932,Republic of Korea
933,Republic of Korea
934,Republic of Korea
935,Republic of Korea
936,Kingdom of Saudi Arabia
937,Kuwait
938,Latvia
939,Latvia Soviet Union
940,Libya
941,Lebanon
942,Lithuania
943,Luxembourg
944,Luxembourg
945,Madagascar
946,Madagascar
947,Morocco
948,Morocco
949,Morocco
950,Morocco
951,Malaysia
952,Malaysia
953,Malaysia
954,Malaysia
955,Malaysia
956,Malaysia
957,Malaysia
958,Malaysia
959,Malaysia
960,Malaysia
961,Malaysia
962,Malaysia
963,Mauritius
964,Mexico
965,Mexico
966,Mexico
967,Mexico
968,Mexico
969,Mexico
970,Mexico
971,Mexico
972,Mexico
973,Mexico
974,Mexico
975,Mexico
976,Mauritius
977,Mauritius
978,Mauritius
979,Mauritius
980,Mauritius
981,Mauritius
982,Netherlands
983,Netherlands
984,Netherlands
985,Netherlands
986,Netherlands
987,Netherlands
988,Netherlands
989,Netherlands
990,Netherlands
991,Netherlands
992,Netherlands
993,Netherlands
994,Netherlands
995,Netherlands
996,Netherlands
997,Netherlands
998,Netherlands
999,Netherlands
1000,Netherlands
1001,Netherlands
1002,Netherlands
1003,Netherlands
1004,Netherlands
1005,Netherlands
1006,Netherlands
1007,Netherlands
1008,Netherlands
1009,Netherlands
1010,Nigeria
1011,Nigeria
1012,Nigeria
1013,Nigeria
1014,Nigeria
1015,Nigeria
1016,Nigeria
1017,Nigeria
1018,Nigeria
1019,Nigeria
1020,Nigeria
1021,Nigeria
1022,Nigeria
1023,Nigeria
1024,Nigeria
1025,Nigeria
1027,Nigeria
1029,Norway
1030,Norway
1032,Norway
1033,Norway
1034,Norway
1035,Norway
1036,Norway
1037,Norway
1038,Norway
1039,Norway
1040,Norway
1041,New Zealand
1042,New Zealand
1043,New Zealand
1044,New Zealand
1045,New Zealand
1046,New Zealand
1047,New Zealand
1048,New Zealand
1049,New Zealand
1050,New Zealand
1051,New Zealand
1052,New Zealand
1053,Pakistan
1054,Paraguay
1055,Paraguay
1056,Paraguay
1057,Paraguay
1058,Peru
1059,Peru
1060,Peru
1061,Peru
1062,Peru
1063,Peru
1064,Peru
1065,Peru
1066,Peru
1067,Philippines
1068,Poland
1069,Poland
1070,Poland
1071,Poland
1072,Poland
1073,Poland
1074,Poland
1075,Poland
1076,Poland
1077,Poland
1078,Bulgaria
1079,Bulgaria
1080,Bulgaria
1081,Bulgaria
1082,Bulgaria
1083,Bulgaria
1084,Bulgaria
1085,Bulgaria
1086,Bulgaria
1087,Bulgaria
1088,Bulgaria
1089,Bulgaria
1090,Bulgaria
1091,Bulgaria
1092,Bulgaria
1093,Bulgaria
1094,Bulgaria
1095,Bulgaria
1096,Bulgaria
1097,Bulgaria
1098,Bulgaria
1099,Bulgaria
1100,Bulgaria
1101,Bulgaria
1102,Bulgaria
1103,Bulgaria
1104,Bulgaria
1105,Bulgaria
1106,Bulgaria
1107,Bulgaria
1108,Bulgaria
1109,Bulgaria
1110,Bulgaria
1111,Bulgaria
1112,Bulgaria
1113,Bulgaria
1114,Bulgaria
1115,Bulgaria
1116,Bulgaria
1117,Bulgaria
1118,Bulgaria
1119,Bulgaria
1120,Bulgaria
1121,Bulgaria
1122,Bulgaria
1123,Burkina Faso
1124,Burkina Faso
1125,Burkina Faso
1126,Central African Republic
1127,Central African Republic
1128,Central African Republic
1129,Central African Republic
1130,Cambodia
1131,Cambodia
1132,Cambodia
1133,Cambodia
1134,Cambodia
1135,Canada
1136,Canada
1137,Canada
1138,Canada
1139,Canada
1140,Canada
1141,Canada
1142,Canada
1143,Canada
1144,Canada
1145,Canada
1146,Canada
1147,Canada
1148,Canada
1149,Canada
1150,Canada
1151,Canada
1152,Canada
1153,Canada
1154,Canada
1155,Canada
1156,Canada
1157,Canada
1158,Canada Nigeria
1159,Canada
1160,Canada
1161,Canada
1162,Canada
1163,Canada
1164,Canada
1165,Canada
1166,Canada
1167,Canada
1168,Canada
1169,Canada
1170,Canada
1171,Canada
1172,Canada
1173,Canada
1174,Canada
1175,Canada
1176,Canada
1177,Canada
1178,Canada
1179,Canada
1180,Canada
1181,Canada
1182,Canada
1183,Canada
1184,Canada
1185,Canada
1186,Canada
1187,Canada
1188,Canada
1189,Canada
1190,Canada
1191,Canada
1192,Canada
1193,Canada
1194,Canada
1195,Canada
1196,Canada
1197,Canada
1198,Canada
1199,Canada
1200,Canada
1201,Canada
1202,Canada
1203,Canada
1204,Canada
1205,Canada
1206,Canada
1207,Canada
1208,Canada
1209,Canada
1210,Canada
1211,Canada
1212,Canada
1213,Canada
1214,Canada
1215,Canada
1216,Canada
1217,Canada
1218,Canada
1219,Canada
1220,Canada
1221,Canada
1222,Canada
1223,Canada
1224,Canada
1225,Canada
1226,Canada
1227,Canada
1228,Canada
1229,Canada
1230,Canada
1231,Canada
1232,Canada
1233,Canada
1234,Canada
1235,Canada
1236,Canada
1237,Canada
1238,Canada
1239,Canada
1240,Canada
1241,Canada
1242,Canada
1243,Canada
1244,Canada
1245,Canada
1246,Canada
1247,Canada
1248,Congo
1249,Congo
1250,Congo
1251,Chad Egypt
1252,Chile
1253,Chile
1254,Chile
1255,Chile
1256,Chile
1257,Chile
1258,Chile
1259,Chile
1260,Chile
1261,Chile
1262,Chile
1263,Chile
1264,Chile
1265,Chile
1266,Chile
1267,Chile
1268,Chile
1269,Chile
1270,Chile
1271,Chile
1272,Chile
1273,Chile
1274,Chile
1275,Chile
1276,Chile
1277,Chile
1278,Chile
1279,Chile
1280,Chile
1281,Chile
1282,Chile
1283,Chile
1284,Chile
1285,Chile
1286,Chile
1287,People's Republic of China
1288,People's Republic of China
1289,People's Republic of China
1290,People's Republic of China
1291,People's Republic of China
1292,People's Republic of China
1293,People's Republic of China
1294,People's Republic of China
1295,People's Republic of China
1296,People's Republic of China
1297,People's Republic of China
1298,Côte d'Ivoire
1299,Côte d'Ivoire
1300,Côte d'Ivoire
1301,Côte d'Ivoire
1302,Côte d'Ivoire
1303,Côte d'Ivoire
1304,Côte d'Ivoire
1305,Cameroon
1306,Cameroon
1307,Cameroon
1308,Cameroon
1309,Cameroon
1310,Cameroon
1311,Cameroon
1312,Cameroon
1313,Cameroon
