Event,Discipline
MogulsOlympic,Freestyle Skiing (Skiing)
CrossCountrySkiingSkiing,Biathlon
5kilometresOlympic,Biathlon
510kilometresPursuitOlympic,Biathlon
AerialsOlympicnonmedal,Freestyle Skiing (Skiing)
AerialsOlympic,Freestyle Skiing (Skiing)
3000metresRelayOlympicnonmedal,Short Track Speed Skating (Skating)
BalletOlympicnonmedal,Freestyle Skiing (Skiing)
125kilometresMassStartOlympic,Biathlon
IndividualOlympicnonmedal,Speed Skiing (Skiing)
SprintOlympic,Cross Country Skiing (Skiing)
SprintOlympic,Biathlon
SkiCrossOlympic,Freestyle Skiing (Skiing)
30kilometresOlympic,Biathlon
MogulsOlympicnonmedal,Freestyle Skiing (Skiing)
15kilometresSkiathlonOlympic,Cross Country Skiing (Skiing)
IceDancingMixedOlympicnonmedal,Figure Skating (Skating)
TeamSprintOlympic,Cross Country Skiing (Skiing)
MassStartOlympic,Speed Skating (Skating)
1500metresOlympic,Short Track Speed Skating (Skating)
45kilometresRelayOlympic,Biathlon
SinglesOlympic,Figure Skating (Skating)
TeamOlympic,Nordic Combined (Skiing)
10kilometresSprintOlympic,Biathlon
475kilometresRelayOlympic,Biathlon
GiantSlalomOlympic,Alpine Skiing (Skiing)
SlalomOlympic,Alpine Skiing (Skiing)
500metresOlympic,Speed Skating (Skating)
1000metresOlympic,Speed Skating (Skating)
DownhillOlympic,Alpine Skiing (Skiing)
SuperGOlympic,Alpine Skiing (Skiing)
LargeHillIndividualOlympic,Ski Jumping (Skiing)
1500metresOlympic,Speed Skating (Skating)
NormalHillIndividualOlympic,Ski Jumping (Skiing)
LargeHillTeamOlympic,Ski Jumping (Skiing)
500metresOlympicnonmedal,Short Track Speed Skating (Skating)
1000metresOlympicnonmedal,Short Track Speed Skating (Skating)
1500metresOlympicnonmedal,Short Track Speed Skating (Skating)
5000metresRelayOlympicnonmedal,Short Track Speed Skating (Skating)
3000mOlympicnonmedal,Short Track Speed Skating (Skating)
5000metresRelayOlympic,Short Track Speed Skating (Skating)
10kilometresOlympic,Cross Country Skiing (Skiing)
1015kilometresPursuitOlympic,Cross Country Skiing (Skiing)
Curling,Bobsleigh (Bobsleigh)
CurlingOlympic,Bobsleigh (Bobsleigh)
MogulsOlympic,Freestyle Skiing (Skiing)
DoublesOpenOlympic,Luge
1010kilometresPursuitOlympic,Cross Country Skiing (Skiing)
SinglesOlympic,Luge
Luge,Bobsleigh (Bobsleigh)
SinglesOlympic,Bobsleigh (Bobsleigh)
10kilometresOlympic,Biathlon
30kilometresOlympic,Biathlon
1015kilometresPursuitOlympic,Biathlon
410kilometresRelayOlympic,Biathlon
10000metresOlympic,Speed Skating (Skating)
AllroundOlympic,Speed Skating (Skating)
SprintOlympic,Cross Country Skiing (Skiing)
30kilometresSkiathlonOlympic,Cross Country Skiing (Skiing)
TeamSprintOlympic,Cross Country Skiing (Skiing)
15kilometresOlympic,Biathlon
MilitarySkiPatrolSkiing,Cross Country Skiing (Skiing)
MilitarySkiPatrolOlympic,Cross Country Skiing (Skiing)
AerialsOlympicnonmedal,Freestyle Skiing (Skiing)
AerialsOlympic,Freestyle Skiing (Skiing)
SkiJumpingSkiing,Alpine Skiing (Skiing)
LargeHillIndividualOlympic,Alpine Skiing (Skiing)
IceHockeyExhibitionOlympicnonmedal,Ice Hockey (Ice Hockey)
18kilometresOlympic,Alpine Skiing (Skiing)
NordicCombinedSkiing,Alpine Skiing (Skiing)
IndividualOlympic,Alpine Skiing (Skiing)
SkiJumpingSkiing,Nordic Combined (Skiing)
LargeHillIndividualOlympic,Nordic Combined (Skiing)
500metresOlympic,Short Track Speed Skating (Skating)
1000metresOlympic,Short Track Speed Skating (Skating)
MogulsOlympicnonmedal,Freestyle Skiing (Skiing)
SkeletonBobsleigh,Bobsleigh (Bobsleigh)
SkeletonOlympic,Bobsleigh (Bobsleigh)
NordicCombinedSkiing,Military Ski Patrol (Skiing)
IndividualOlympic,Military Ski Patrol (Skiing)
SkiJumpingSkiing,Military Ski Patrol (Skiing)
LargeHillIndividualOlympic,Military Ski Patrol (Skiing)
125kilometresPursuitOlympic,Biathlon
15kilometresMassStartOlympic,Biathlon
26kilometresand275kilometresRelayMixedOlympic,Biathlon
CrossCountrySkiingSkiing,Nordic Combined (Skiing)
18kilometresOlympic,Nordic Combined (Skiing)
TeamPursuit8lapsOlympic,Speed Skating (Skating)
1500metresOlympic,Short Track Speed Skating (Skating)
SpecialFiguresOlympic,Figure Skating (Skating)
LargeHillTeamOlympic,Nordic Combined (Skiing)
50kilometresOlympic,Alpine Skiing (Skiing)
CrossCountrySkiingSkiing,Ice Hockey (Ice Hockey)
50kilometresOlympic,Ice Hockey (Ice Hockey)
SkiJumpingSkiing,Ice Hockey (Ice Hockey)
LargeHillIndividualOlympic,Ice Hockey (Ice Hockey)
MilitarySkiPatrolSkiing,Nordic Combined (Skiing)
MilitarySkiPatrolOlympicnonmedal,Nordic Combined (Skiing)
NormalHillIndividualOlympic,Nordic Combined (Skiing)
SpeedSkatingSkating,Ice Hockey (Ice Hockey)
500metresOlympic,Ice Hockey (Ice Hockey)
1500metresOlympic,Ice Hockey (Ice Hockey)
5000metresOlympic,Ice Hockey (Ice Hockey)
AllroundOlympic,Ice Hockey (Ice Hockey)
IceHockeyIceHockey,Bobsleigh (Bobsleigh)
IceHockeyOlympic,Bobsleigh (Bobsleigh)
IceHockeyIceHockey,Speed Skating (Skating)
IceHockeyOlympic,Speed Skating (Skating)
BobsleighBobsleigh,Alpine Skiing (Skiing)
FourOlympic,Alpine Skiing (Skiing)
TeamRelayMixedOlympic,Luge
AlpineSkiingSkiing,Ski Jumping (Skiing)
CombinedOlympic,Ski Jumping (Skiing)
50kilometresOlympic,Biathlon
MilitarySkiPatrolOlympicnonmedal,Cross Country Skiing (Skiing)
15kilometresOlympic,Alpine Skiing (Skiing)
BalletOlympicnonmedal,Freestyle Skiing (Skiing)
SprintOlympic,Nordic Combined (Skiing)
NormalHill10kmIndividualOlympic,Nordic Combined (Skiing)
LargeHill10kmIndividualOlympic,Nordic Combined (Skiing)
CrossCountrySkiingSkiing,Military Ski Patrol (Skiing)
50kilometresOlympic,Military Ski Patrol (Skiing)
30kilometresOlympic,Alpine Skiing (Skiing)
SculpturingMedalsOpenOlympic,Art Competitions
KayakSingles200metresOlympic,Canoe Sprint (Canoeing)
KayakSingles200metresOlympic,Canoe Sprint (Canoeing)
KayakDoubles200metresOlympic,Canoe Sprint (Canoeing)
KayakFours500metresOlympic,Canoe Sprint (Canoeing)
OmniumOlympic,Cycling Track (Cycling)
BMXOlympic,Cycling BMX Racing (Cycling)
IndividualOlympic,Trampolining (Gymnastics)
IndividualOlympic,Trampolining (Gymnastics)
TeamOlympic,Cross Country Skiing (Skiing)
LightweightFreestyleOlympic,Wrestling
WindsurferOlympicnonmedal,Sailing
TrapTeamMixedOlympic,Shooting
AirPistol10metresTeamMixedOlympic,Shooting
MarathonSwimmingAquatics,Swimming (Aquatics)
10kilometresOpenWaterOlympic,Swimming (Aquatics)
10kilometresOpenWaterOlympic,Marathon Swimming (Aquatics)
10kilometresOpenWaterOlympic,Swimming (Aquatics)
10kilometresOpenWaterOlympic,Marathon Swimming (Aquatics)
FeatherweightOlympic,Taekwondo
FlyweightOlympic,Taekwondo
FlyweightOlympic,Taekwondo
FeatherweightOlympic,Taekwondo
WelterweightOlympic,Taekwondo
FinweightOlympicnonmedal,Taekwondo
WelterweightOlympic,Taekwondo
HeavyweightOlympic,Taekwondo
HeavyweightOlympic,Taekwondo
LightweightOlympicnonmedal,Taekwondo
WelterweightOlympicnonmedal,Taekwondo
BantamweightOlympicnonmedal,Taekwondo
MiddleweightOlympicnonmedal,Taekwondo
HeavyweightOlympicnonmedal,Taekwondo
OlympicDistanceOlympic,Triathlon
Athletics,Triathlon
10000metresOlympic,Triathlon
WaterPoloOlympic,Water Polo (Aquatics)
LightHeavyweightOlympic,Weightlifting
LightweightOlympic,Weightlifting
MiddleweightOlympic,Weightlifting
SuperHeavyweightOlympic,Weightlifting
FeatherweightOlympic,Weightlifting
FlyweightOlympic,Weightlifting
AlpineSkiingSkiing,Cross Country Skiing (Skiing)
CombinedOlympic,Cross Country Skiing (Skiing)
NordicCombinedSkiing,Ski Jumping (Skiing)
IndividualOlympic,Ski Jumping (Skiing)
FootballFootball,Ice Hockey (Ice Hockey)
FootballOlympic,Ice Hockey (Ice Hockey)
SkiCrossOlympic,Freestyle Skiing (Skiing)
10000metresOlympic,Ice Hockey (Ice Hockey)
AlpineSkiingSkiing,Bobsleigh (Bobsleigh)
GiantSlalomOlympic,Bobsleigh (Bobsleigh)
50kilometresOlympic,Nordic Combined (Skiing)
SkijoringSkiing,Ice Hockey (Ice Hockey)
SkiJoringOlympicnonmedal,Ice Hockey (Ice Hockey)
TwoOlympic,Alpine Skiing (Skiing)
SprintOlympic,Biathlon
GiantSlalomOlympic,Snowboarding (Skiing)
ParallelGiantSlalomOlympic,Snowboarding (Skiing)
GiantSlalomOlympic,Snowboarding (Skiing)
CrossOlympic,Snowboarding (Skiing)
ParallelSlalomOlympic,Snowboarding (Skiing)
HalfpipeOlympic,Snowboarding (Skiing)
HalfpipeOlympic,Snowboarding (Skiing)
CrossOlympic,Snowboarding (Skiing)
ParallelGiantSlalomOlympic,Snowboarding (Skiing)
CurlingOlympic,Curling
CurlingOlympicnonmedal,Curling
CurlingOlympic,Curling
CurlingOlympicnonmedal,Curling
IceHockeyOlympic,Ice Hockey (Ice Hockey)
18footOpenOlympic,Sailing
SlopestyleOlympic,Snowboarding (Skiing)
1010kilometresPursuitOlympic,Biathlon
TeamMixedOlympic,Figure Skating (Skating)
ParallelSlalomOlympic,Snowboarding (Skiing)
SkeletonOlympic,Skeleton (Bobsleigh)
TeamMixedOlympic,Alpine Skiing (Skiing)
FourOpenOlympic,Bobsleigh (Bobsleigh)
HighJumpOlympicnonmedal,Swimming (Aquatics)
StandingHighJumpOlympic,Swimming (Aquatics)
PoleVaultOlympicnonmedal,Swimming (Aquatics)
HighJumpHandicapOlympicnonmedal,Swimming (Aquatics)
PoleVaultHandicapOlympicnonmedal,Swimming (Aquatics)
PlungeForDistanceOlympic,Water Polo (Aquatics)
220yardsHandicapOlympicnonmedal,Water Polo (Aquatics)
1mileHandicapOlympicnonmedal,Water Polo (Aquatics)
SinglesOlympic,Roque
UnknownEventOlympic,Shooting
4100metresMedleyRelayMixedOlympic,Swimming (Aquatics)
1500metresFreestyleOlympic,Swimming (Aquatics)
SkiffOlympic,Sailing
SkiffOlympic,Sailing
AirRifle10metresTeamMixedOlympic,Shooting
CanadianSingles200metresOlympic,Canoe Sprint (Canoeing)
SabreIndividualOlympic,Fencing
SabreTeamOlympic,Fencing
RelayMixedOlympic,Triathlon
TeamPursuitOlympic,Cycling Track (Cycling)
KeirinOlympic,Cycling Road (Cycling)
DoublesMixedOlympic,Table Tennis
FlyweightFreestyleOlympic,Wrestling
FeatherweightFreestyleOlympic,Wrestling
MiddleweightFreestyleOlympic,Wrestling
MassStartOlympic,Speed Skating (Skating)
NormalHillTeamMixedOlympic,Ski Jumping (Skiing)
SlopestyleOlympic,Snowboarding (Skiing)
2000metresRelayMixedOlympic,Short Track Speed Skating (Skating)
BigAirOlympic,Snowboarding (Skiing)
TeamCrossMixedOlympic,Snowboarding (Skiing)
IndividualGirlsYOG,Archery
TeamMixedYouthYOG,Archery
50metresFreestyleGirlsYOG,Swimming (Aquatics)
4100metresFreestyleRelayMixedYouthYOG,Swimming (Aquatics)
100metresFreestyleGirlsYOG,Swimming (Aquatics)
4100metresMedleyRelayMixedYouthYOG,Swimming (Aquatics)
200metresFreestyleGirlsYOG,Swimming (Aquatics)
4100metresFreestyleRelayGirlsYOG,Swimming (Aquatics)
4100metresMedleyRelayGirlsYOG,Swimming (Aquatics)
TeamMixedOlympic,Judo
BMXOlympic,Cycling BMX Racing (Cycling)
TeamSprintOlympic,Cycling Road (Cycling)
CyclingMountainBikeCycling,Cycling Track (Cycling)
CrossCountryOlympic,Cycling Track (Cycling)
4400metresRelayMixedOlympic,Athletics
50metresFreestyleBoysYOG,Swimming (Aquatics)
100metresFreestyleBoysYOG,Swimming (Aquatics)
200metresFreestyleBoysYOG,Swimming (Aquatics)
100metresBackstrokeBoysYOG,Swimming (Aquatics)
200metresIndividualMedleyBoysYOG,Swimming (Aquatics)
50metresBackstrokeGirlsYOG,Swimming (Aquatics)
100metresBackstrokeGirlsYOG,Swimming (Aquatics)
200metresBreaststrokeGirlsYOG,Swimming (Aquatics)
200metresIndividualMedleyGirlsYOG,Swimming (Aquatics)
400metresFreestyleGirlsYOG,Swimming (Aquatics)
200metresButterflyGirlsYOG,Swimming (Aquatics)
100metresButterflyBoysYOG,Swimming (Aquatics)
200metresButterflyBoysYOG,Swimming (Aquatics)
SpringboardGirlsYOG,Diving (Aquatics)
PlatformGirlsYOG,Diving (Aquatics)
SpringboardBoysYOG,Diving (Aquatics)
CanadianSinglesSlalomOlympic,Canoe Slalom (Canoeing)
50metresBreaststrokeGirlsYOG,Swimming (Aquatics)
100metresBreaststrokeGirlsYOG,Swimming (Aquatics)
100metresButterflyGirlsYOG,Swimming (Aquatics)
LightHeavyweightFreestyleOlympic,Wrestling
TeamSprintOlympic,Biathlon
10kilometresOlympic,Biathlon
MonobobOlympic,Bobsleigh (Bobsleigh)
MixedDoublesMixedOlympic,Curling
TeamAerialsMixedOlympic,Freestyle Skiing (Skiing)
BigAirOlympic,Snowboarding (Skiing)
ShortTrackSpeedSkatingSkating,Speed Skating (Skating)
3000metresRelayOlympic,Speed Skating (Skating)
10000metresRaceWalkBoysYOG,Athletics
FoilIndividualGirlsYOG,Fencing
MixedWeaponTeamMixedYouthYOG,Fencing
100metresHurdlesGirlsYOG,Athletics
AirRifle10metresGirlsYOG,Shooting
50metresBreaststrokeBoysYOG,Swimming (Aquatics)
100metresBreaststrokeBoysYOG,Swimming (Aquatics)
LongJumpGirlsYOG,Athletics
200metresBoysYOG,Athletics
MedleyRelayBoysYOG,Athletics
100metresBoysYOG,Athletics
50metresButterflyGirlsYOG,Swimming (Aquatics)
KayakSinglesHeadtoHeadGirlsYOG,Canoe Sprint (Canoeing)
KayakSinglesObstacleSlalomGirlsYOG,Canoe Sprint (Canoeing)
GroupGirlsYOG,Rhythmic Gymnastics (Gymnastics)
SinglesGirlsYOG,Table Tennis
TeamMixedYouthYOG,Table Tennis
LightweightOlympic,Boxing
FlyweightOlympic,Boxing
MiddleweightOlympic,Boxing
IndividualAllAroundGirlsYOG,Artistic Gymnastics (Gymnastics)
FloorExerciseGirlsYOG,Artistic Gymnastics (Gymnastics)
VaultGirlsYOG,Artistic Gymnastics (Gymnastics)
UnevenBarsGirlsYOG,Artistic Gymnastics (Gymnastics)
BalanceBeamGirlsYOG,Artistic Gymnastics (Gymnastics)
SinglesBoysYOG,Table Tennis
200metresBreaststrokeBoysYOG,Swimming (Aquatics)
PoleVaultGirlsYOG,Athletics
200metresBackstrokeBoysYOG,Swimming (Aquatics)
LightweightBoysYOG,Boxing
400metresHurdlesGirlsYOG,Athletics
TeamMixedYouthYOG,Judo
63kilogramsGirlsYOG,Judo
LongJumpBoysYOG,Athletics
55kilogramsGirlsYOG,Taekwondo
AirRifle10metresBoysYOG,Shooting
100metresGirlsYOG,Athletics
PlatformBoysYOG,Diving (Aquatics)
200metresBackstrokeGirlsYOG,Swimming (Aquatics)
400metresBoysYOG,Athletics
3000metresBoysYOG,Athletics
3000metresGirlsYOG,Athletics
FeatherweightBoysYOG,Weightlifting
BantamweightBoysYOG,Weightlifting
IndividualBoysYOG,Archery
PoleVaultBoysYOG,Athletics
HockeyBoysYOG,Hockey
MiddleweightBoysYOG,Weightlifting
FeatherweightGirlsYOG,Weightlifting
400metresGirlsYOG,Athletics
MedleyRelayGirlsYOG,Athletics
AirPistol10metresBoysYOG,Shooting
50metresButterflyBoysYOG,Swimming (Aquatics)
800metresFreestyleOlympic,Swimming (Aquatics)
50metresBackstrokeBoysYOG,Swimming (Aquatics)
1000metresGirlsYOG,Athletics
LightHeavyweightBoysYOG,Boxing
LightweightGirlsYOG,Weightlifting
IndividualAllAroundBoysYOG,Artistic Gymnastics (Gymnastics)
FloorExerciseBoysYOG,Artistic Gymnastics (Gymnastics)
VaultBoysYOG,Artistic Gymnastics (Gymnastics)
ParallelBarsBoysYOG,Artistic Gymnastics (Gymnastics)
RingsBoysYOG,Artistic Gymnastics (Gymnastics)
PommelledHorseBoysYOG,Artistic Gymnastics (Gymnastics)
400metresFreestyleBoysYOG,Swimming (Aquatics)
4100metresFreestyleRelayBoysYOG,Swimming (Aquatics)
4100metresMedleyRelayBoysYOG,Swimming (Aquatics)
IndividualGirlsYOG,Modern Pentathlon
RelayMixedYouthYOG,Modern Pentathlon
CombinedTeamMixedYouthYOG,Cycling Road (Cycling)
MiddleweightBoysYOG,Boxing
MadisonOlympic,Cycling Track (Cycling)
OmniumOlympic,Cycling Road (Cycling)
BantamweightBoysYOG,Boxing
SingleScullsBoysYOG,Rowing
HorizontalBarBoysYOG,Artistic Gymnastics (Gymnastics)
JavelinThrowBoysYOG,Athletics
800metresFreestyleGirlsYOG,Swimming (Aquatics)
55kilogramsBoysYOG,Taekwondo
HeavyweightBoysYOG,Weightlifting
TeamMixedYouthYOG,Diving (Aquatics)
FlyweightBoysYOG,Boxing
SinglesGirlsYOG,Tennis
DoublesGirlsYOG,Tennis
MiddleweightGirlsYOG,Weightlifting
IndividualGirlsYOG,Rhythmic Gymnastics (Gymnastics)
HockeyGirlsYOG,Hockey
SinglesGirlsYOG,Badminton
1000metresBoysYOG,Athletics
AirPistol10metresGirlsYOG,Shooting
HandballGirlsYOG,Handball
3x3BasketballGirlsYOG,3x3 Basketball (Basketball)
FoilIndividualBoysYOG,Fencing
SuperHeavyweightBoysYOG,Boxing
CyclingRoadCycling,Cycling Track (Cycling)
RoadRaceIndividualOlympic,Cycling Track (Cycling)
IndividualTimeTrialOlympic,Cycling Track (Cycling)
OmniumOlympic,Cycling Road (Cycling)
OnePersonDinghyGirlsYOG,Sailing
WelterweightBoysYOG,Boxing
CoxlessPairsGirlsYOG,Rowing
IndividualGirlsYOG,Trampolining (Gymnastics)
HighJumpBoysYOG,Athletics
SuperGBoysYOG,Alpine Skiing (Skiing)
GiantSlalomBoysYOG,Alpine Skiing (Skiing)
SlalomBoysYOG,Alpine Skiing (Skiing)
CombinedBoysYOG,Alpine Skiing (Skiing)
SuperGGirlsYOG,Alpine Skiing (Skiing)
GiantSlalomGirlsYOG,Alpine Skiing (Skiing)
SlalomGirlsYOG,Alpine Skiing (Skiing)
CombinedGirlsYOG,Alpine Skiing (Skiing)
SprintGirlsYOG,Cross Country Skiing (Skiing)
5kilometresGirlsYOG,Cross Country Skiing (Skiing)
SlopestyleOlympic,Freestyle Skiing (Skiing)
HalfpipeOlympic,Freestyle Skiing (Skiing)
SlopestyleOlympic,Freestyle Skiing (Skiing)
SinglesBoysYOG,Luge
TwoBoysYOG,Bobsleigh (Bobsleigh)
HalfpipeOlympic,Freestyle Skiing (Skiing)
HalfpipeBoysYOG,Freestyle Skiing (Skiing)
SlopestyleBoysYOG,Freestyle Skiing (Skiing)
SinglesGirlsYOG,Luge
TeamRelayMixedYouthYOG,Luge
NormalHillIndividualOlympic,Ski Jumping (Skiing)
MediumHillIndividualGirlsYOG,Ski Jumping (Skiing)
MediumHillTeamMixedYouthYOG,Ski Jumping (Skiing)
MediumHillIndividualBoysYOG,Ski Jumping (Skiing)
BigAirOlympic,Freestyle Skiing (Skiing)
6kilometresSprintGirlsYOG,Biathlon
75kilometresPursuitGirlsYOG,Biathlon
SinglesGirlsYOG,Figure Skating (Skating)
SinglesBoysYOG,Figure Skating (Skating)
MediumHill10kmIndividualBoysYOG,Nordic Combined (Skiing)
MediumHillTeamMixedYouthYOG,Nordic Combined (Skiing)
AlpineSkiingSkiing,Snowboarding (Skiing)
SuperGOlympic,Snowboarding (Skiing)
SnowboardingSkiing,Alpine Skiing (Skiing)
ParallelGiantSlalomOlympic,Alpine Skiing (Skiing)
BigAirOlympic,Freestyle Skiing (Skiing)
HalfpipeGirlsYOG,Freestyle Skiing (Skiing)
26kilometresand275kilometresRelayMixedYouthYOG,Biathlon
MixedSports,Biathlon
CrossCountryBiathlonRelayMixedYouthYOG,Biathlon
SlopestyleBoysYOG,Snowboarding (Skiing)
HalfpipeBoysYOG,Snowboarding (Skiing)
500metresGirlsYOG,Short Track Speed Skating (Skating)
3000metresRelayMixedYouthYOG,Short Track Speed Skating (Skating)
1000metresGirlsYOG,Short Track Speed Skating (Skating)
ParkOlympic,Skateboarding (Roller Sports)
TeamMixedYouthYOG,Figure Skating (Skating)
TwoGirlsYOG,Bobsleigh (Bobsleigh)
CrossCountryBiathlonRelayMixedYouthYOG,Mixed Sports
CrossCountrySkiingSkiing,Mixed Sports
SprintBoysYOG,Mixed Sports
10kilometresBoysYOG,Mixed Sports
IceHockeyGirlsYOG,Ice Hockey (Ice Hockey)
75kilometresSprintBoysYOG,Biathlon
10kilometresPursuitBoysYOG,Biathlon
AirRifle10metresTeamMixedYouthYOG,Shooting
HeavyweightGirlsYOG,Weightlifting
8100metresRelayMixedYouthYOG,Athletics
RugbySevensOlympic,Rugby Sevens (Rugby)
SprintGirlsYOG,Triathlon
RelayMixedYouthYOG,Triathlon
200metresGirlsYOG,Athletics
HammerThrowGirlsYOG,Athletics
2000metresSteeplechaseGirlsYOG,Athletics
FeatherweightOlympic,Boxing
52kilogramsGirlsYOG,Judo
RugbySevensGirlsYOG,Rugby Sevens (Rugby)
70kilogramsFreestyleGirlsYOG,Wrestling
Hockey5sGirlsYOG,Hockey 5s
63kilogramsGirlsYOG,Taekwondo
HighJumpGirlsYOG,Athletics
SingleScullsGirlsYOG,Rowing
1500metresGirlsYOG,Athletics
AirPistol10metresTeamMixedYouthYOG,Shooting
46kilogramsFreestyleGirlsYOG,Wrestling
JavelinThrowGirlsYOG,Athletics
DiscusThrowGirlsYOG,Athletics
5000metresRaceWalkGirlsYOG,Athletics
IndividualGirlsYOG,Golf
TeamMixedYouthYOG,Golf
63kilogramsGirlsYOG,Taekwondo
FlyweightGirlsYOG,Boxing
DoublesMixedYouthYOG,Badminton
SabreIndividualGirlsYOG,Fencing
49kilogramsGirlsYOG,Taekwondo
WindsurferGirlsYOG,Sailing
DoublesMixedYouthYOG,Tennis
800metresGirlsYOG,Athletics
SuperHeavyweightGirlsYOG,Weightlifting
TripleJumpGirlsYOG,Athletics
44kilogramsGirlsYOG,Taekwondo
MiddleweightGirlsYOG,Boxing
WelterweightOlympic,Boxing
peIndividualGirlsYOG,Fencing
78kilogramsGirlsYOG,Judo
2000metresSteeplechaseBoysYOG,Athletics
800metresFreestyleBoysYOG,Swimming (Aquatics)
RugbySevensOlympic,Rugby Sevens (Rugby)
WindsurferBoysYOG,Sailing
VolleyballBoysYOG,Volleyball (Volleyball)
SuperHeavyweightBoysYOG,Weightlifting
ShotPutBoysYOG,Athletics
IndividualBoysYOG,Modern Pentathlon
CoxlessPairsBoysYOG,Rowing
TripleJumpBoysYOG,Athletics
LightFlyweightBoysYOG,Boxing
400metresHurdlesBoysYOG,Athletics
SinglesBoysYOG,Tennis
DoublesBoysYOG,Tennis
IndividualOpenYouthYOG,Equestrian Jumping (Equestrian)
TeamOpenYouthYOG,Equestrian Jumping (Equestrian)
100kilogramsBoysYOG,Judo
55kilogramsBoysYOG,Judo
SinglesBoysYOG,Badminton
CanoeSinglesHeadtoHeadBoysYOG,Canoe Sprint (Canoeing)
CanoeSinglesObstacleSlalomBoysYOG,Canoe Sprint (Canoeing)
peIndividualBoysYOG,Fencing
LightweightBoysYOG,Weightlifting
76kilogramsFreestyleBoysYOG,Wrestling
110metresHurdlesBoysYOG,Athletics
HeavyweightBoysYOG,Boxing
81kilogramsBoysYOG,Judo
KayakSinglesHeadtoHeadBoysYOG,Canoe Sprint (Canoeing)
KayakSinglesObstacleSlalomBoysYOG,Canoe Sprint (Canoeing)
1500metresBoysYOG,Athletics
85kilogramsGrecoRomanBoysYOG,Wrestling
OnePersonDinghyBoysYOG,Sailing
HandballBoysYOG,Handball
RugbySevensBoysYOG,Rugby Sevens (Rugby)
IndividualBoysYOG,Trampolining (Gymnastics)
100kilogramsFreestyleBoysYOG,Wrestling
73kilogramsBoysYOG,Taekwondo
66kilogramsBoysYOG,Judo
DiscusThrowBoysYOG,Athletics
HammerThrowBoysYOG,Athletics
CombinedTeamBoysYOG,Cycling Road (Cycling)
RelayMixedYouthYOG,Cycling Road (Cycling)
Hockey5sBoysYOG,Hockey 5s
48kilogramsBoysYOG,Taekwondo
SabreIndividualBoysYOG,Fencing
IndividualTimeTrialOlympic,Cycling Track (Cycling)
SprintBoysYOG,Cross Country Skiing (Skiing)
10kilometresBoysYOG,Cross Country Skiing (Skiing)
CrossBoysYOG,Cross Country Skiing (Skiing)
FreestyleSkiingSkiing,Alpine Skiing (Skiing)
SkiCrossBoysYOG,Alpine Skiing (Skiing)
SlopestyleGirlsYOG,Snowboarding (Skiing)
HalfpipeGirlsYOG,Snowboarding (Skiing)
TeamMixedYouthYOG,Alpine Skiing (Skiing)
SprintGirlsYOG,Mixed Sports
5kilometresGirlsYOG,Mixed Sports
SlopestyleGirlsYOG,Freestyle Skiing (Skiing)
DoublesOpenYouthYOG,Luge
SkeletonGirlsYOG,Skeleton (Bobsleigh)
6and75kilometresSingleRelayMixedYouthYOG,Biathlon
SkiCrossGirlsYOG,Freestyle Skiing (Skiing)
CrossGirlsYOG,Cross Country Skiing (Skiing)
PairsMixedYouthYOG,Figure Skating (Skating)
500metresGirlsYOG,Speed Skating (Skating)
TeamSprintMixedYouthYOG,Speed Skating (Skating)
1500metresGirlsYOG,Speed Skating (Skating)
MassStartGirlsYOG,Speed Skating (Skating)
500metresBoysYOG,Short Track Speed Skating (Skating)
1000metresBoysYOG,Short Track Speed Skating (Skating)
MixedSports,Cross Country Skiing (Skiing)
CrossCountrySkiingSkiJumpingNordicCombinedTeamMixedYouthYOG,Cross Country Skiing (Skiing)
CrossCountrySkiingSkiJumpingNordicCombinedTeamMixedYouthYOG,Mixed Sports
SkiJumpingSkiing,Mixed Sports
NormalHillTeamMixedYouthYOG,Mixed Sports
NordicCombinedSkiing,Mixed Sports
NormalHill5kmIndividualBoysYOG,Mixed Sports
NormalHillIndividualBoysYOG,Ski Jumping (Skiing)
IceDancingMixedYouthYOG,Figure Skating (Skating)
NormalHillIndividualBoysYOG,Mixed Sports
CrossBoysYOG,Snowboarding (Skiing)
FreestyleSnowboardRelayMixedYouthYOG,Mixed Sports
SnowboardingSkiing,Mixed Sports
CrossGirlsYOG,Mixed Sports
3000metresGirlsYOG,Speed Skating (Skating)
DoublesMixedYouthYOG,Curling
CurlingMixedYouthYOG,Curling
NormalHillIndividualGirlsYOG,Mixed Sports
1500metresBoysYOG,Speed Skating (Skating)
3000metresBoysYOG,Speed Skating (Skating)
MassStartBoysYOG,Speed Skating (Skating)
3000metresRelayMixedYouthYOG,Speed Skating (Skating)
1000metresGirlsYOG,Speed Skating (Skating)
500metresBoysYOG,Speed Skating (Skating)
SkillsChallengeGirlsYOG,Ice Hockey (Ice Hockey)
MonobobBoysYOG,Bobsleigh (Bobsleigh)
FreestyleSkiingSkiing,Mixed Sports
SkiCrossGirlsYOG,Mixed Sports
BigAirGirlsYOG,Freestyle Skiing (Skiing)
SkeletonBoysYOG,Skeleton (Bobsleigh)
Longesttimetravelled2HandicapOpenOlympicnonmedal,Ballooning (Air Sports)
Longesttimetravelled3OpenOlympicnonmedal,Ballooning (Air Sports)
Closestlandingtotarget3CombinedOpenOlympicnonmedal,Ballooning (Air Sports)
