Event,Discipline
FourInHandCompetitionOpenOlympic,Equestrian Driving (Equestrian)
EquestrianDressageEquestrian,Equestrian Jumping (Equestrian)
SabreTeamOlympic,Fencing
EquestrianEventingEquestrian,Fencing
IndividualOlympic,Fencing
TeamOlympic,Fencing
LongJumpOpenOlympic,Equestrian Jumping (Equestrian)
HacksandHunterCombinedOpenOlympic,Equestrian Jumping (Equestrian)
HighJumpOpenOlympic,Equestrian Jumping (Equestrian)
EquestrianEventingEquestrian,Modern Pentathlon
EquestrianDrivingEquestrian,Equestrian Jumping (Equestrian)
FourInHandCompetitionOpenOlympic,Equestrian Jumping (Equestrian)
EquestrianDrivingEquestrian,Equestrian Dressage (Equestrian)
FourInHandCompetitionOpenOlympic,Equestrian Dressage (Equestrian)
FourFiveOlympic,Bobsleigh (Bobsleigh)
SabreIndividualOlympic,Fencing
20kilometresOlympic,Cycling Track (Cycling)
IndividualPursuit4000metresOlympic,Cycling Track (Cycling)
SprintOlympic,Cycling Track (Cycling)
CyclingTrackCycling,Cycling Road (Cycling)
SprintOlympic,Cycling Road (Cycling)
1000metresTimeTrialOlympic,Cycling Road (Cycling)
PointsRaceOlympic,Cycling Road (Cycling)
RoadRaceIndividualOlympic,Cycling Road (Cycling)
CyclingMountainBikeCycling,Cycling Road (Cycling)
CrossCountryOlympic,Cycling Road (Cycling)
CrossCountryOlympic,Cycling Mountain Bike (Cycling)
IndividualPursuitOlympic,Cycling Track (Cycling)
PointsRaceOlympic,Cycling Track (Cycling)
IndividualTimeTrialOlympic,Cycling Road (Cycling)
IndividualPursuitOlympic,Cycling Road (Cycling)
PointsRaceOlympic,Cycling Road (Cycling)
TeamPursuitOlympic,Cycling Road (Cycling)
SprintOlympic,Cycling Track (Cycling)
500metresTimeTrialOlympic,Cycling Track (Cycling)
TwoOlympic,Bobsleigh (Bobsleigh)
3000metresOlympic,Athletics
3000metresOlympic,Speed Skating (Skating)
5000metresOlympic,Speed Skating (Skating)
TeamPursuit6lapsOlympic,Speed Skating (Skating)
KeirinOlympic,Cycling Track (Cycling)
TeamSprintOlympic,Cycling Track (Cycling)
SprintOlympic,Cycling Road (Cycling)
IndividualPursuit4000metresOlympic,Cycling Road (Cycling)
